	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	1.25190067833	-1.00438634616	-1.87515614635	-1.92402051851	-1.24690748563	-0.0905598952996	-0.969852091621	0.118494606993	0.19749403737	-0.500412660688	-0.544213810427	-1.63265991563	-0.753703351467	-2.83700207435	-3.68062216274	-0.799708739503	-0.396543253199	-0.54407598873
a	-1.00438634616	2.18371791369	0.0835004301921	-1.62277099826	-1.50891823409	-0.751583976881	-1.50546561858	-0.766709615624	-0.744210374573	-0.621187375294	-0.415788661629	-2.13419375393	-1.08804115353	-1.0225242917	-3.21261307236	-0.786085640356	-0.635661335156	-0.303277196702
q	-1.87515614635	0.0835004301921	4.938520489	-2.83948875075	-2.93826608543	-2.21351951494	-1.88992701974	-1.87558634772	-1.63125510902	-0.0647516905553	-1.39035302018	-2.81912838163	-2.16710920061	-2.92797070535	-0.8852435051	-1.65121765814	-2.19893233901	-3.42097578562
x	-1.92402051851	-1.62277099826	-2.83948875075	2.60189309262	0.329161516694	0.322427724276	-1.23310505895	-0.332828808454	-0.416624696828	-0.850567019122	-1.04417281094	-2.22798243423	-1.73450477906	-3.54880850827	-3.7281503059	0.0293779289663	-0.393976516086	-0.360536066301
s	-1.24690748563	-1.50891823409	-2.93826608543	0.329161516694	5.59125413483	2.52356142539	-0.659043949536	0.136919672968	0.158086762176	-0.518327192542	-1.02218067741	-1.67477638492	-1.75180465789	-3.41786420034	-3.92658536207	-0.115748593443	0.866038666239	1.17409692545
w	-0.0905598952996	-0.751583976881	-2.21351951494	0.322427724276	2.52356142539	8.11053474794	0.911527153306	1.47849256278	2.9260026013	0.192767715531	-1.33507274051	-0.0637443915437	-1.38230314524	-3.21454520646	-4.06167190599	-0.302880141125	0.53876999565	2.6420981479
c	-0.969852091621	-1.50546561858	-1.88992701974	-1.23310505895	-0.659043949536	0.911527153306	3.51457285371	1.11211051283	1.30797467921	0.580190047	-0.434165500093	-1.14547713893	-1.3008333563	-3.18797482667	-3.73416973552	0.416329268197	0.318928713937	-0.0055675589789
d	0.118494606993	-0.766709615624	-1.87558634772	-0.332828808454	0.136919672968	1.47849256278	1.11211051283	5.46918408571	2.31189249952	0.331946566881	-0.224465664664	-0.0586328979704	-0.613904916132	-2.88474015808	-3.34073516046	0.177720527917	1.03440272442	1.31040530919
e	0.19749403737	-0.744210374573	-1.63125510902	-0.416624696828	0.158086762176	2.9260026013	1.30797467921	2.31189249952	5.52222230486	0.590471186742	0.250965320352	0.289941798353	-0.0873437247528	-2.38906316237	-3.92844140207	1.07790336894	1.93719599764	1.87187482153
b	-0.500412660688	-0.621187375294	-0.0647516905553	-0.850567019122	-0.518327192542	0.192767715531	0.580190047	0.331946566881	0.590471186742	4.79199702663	0.483114641052	-0.846768914602	-0.640583096333	-2.36514404998	-3.28881500276	-0.344893311015	-0.461126518906	-0.753163793157
g	-0.544213810427	-0.415788661629	-1.39035302018	-1.04417281094	-1.02218067741	-1.33507274051	-0.434165500093	-0.224465664664	0.250965320352	0.483114641052	4.72129201553	-0.0224748043794	0.919179533084	0.740357108483	1.25993538669	1.83777538336	1.58305209843	1.34991354047
t	-1.63265991563	-2.13419375393	-2.81912838163	-2.22798243423	-1.67477638492	-0.0637443915437	-1.14547713893	-0.0586328979704	0.289941798353	-0.846768914602	-0.0224748043794	2.52288874964	-0.2617474889	-1.70534910287	-3.31466396749	0.0254541058147	0.607275081595	0.766957802958
v	-0.753703351467	-1.08804115353	-2.16710920061	-1.73450477906	-1.75180465789	-1.38230314524	-1.3008333563	-0.613904916132	-0.0873437247528	-0.640583096333	0.919179533084	-0.2617474889	3.46240154594	0.0328689065968	-0.553919987972	0.826242445545	1.16111278313	0.970966512073
f	-2.83700207435	-1.0225242917	-2.92797070535	-3.54880850827	-3.41786420034	-3.21454520646	-3.18797482667	-2.88474015808	-2.38906316237	-2.36514404998	0.740357108483	-1.70534910287	0.0328689065968	2.75671312111	-0.358244601352	-1.00676919948	-1.10682601981	-1.28543905816
r	-3.68062216274	-3.21261307236	-0.8852435051	-3.7281503059	-3.92658536207	-4.06167190599	-3.73416973552	-3.34073516046	-3.92844140207	-3.28881500276	1.25993538669	-3.31466396749	-0.553919987972	-0.358244601352	4.71425679432	-0.164500211169	-1.23236641958	0.0659507510852
n	-0.799708739503	-0.786085640356	-1.65121765814	0.0293779289663	-0.115748593443	-0.302880141125	0.416329268197	0.177720527917	1.07790336894	-0.344893311015	1.83777538336	0.0254541058147	0.826242445545	-1.00676919948	-0.164500211169	5.55838079042	3.38210639805	2.70213089518
h	-0.396543253199	-0.635661335156	-2.19893233901	-0.393976516086	0.866038666239	0.53876999565	0.318928713937	1.03440272442	1.93719599764	-0.461126518906	1.58305209843	0.607275081595	1.16111278313	-1.10682601981	-1.23236641958	3.38210639805	6.47749574454	3.38605768143
y	-0.54407598873	-0.303277196702	-3.42097578562	-0.360536066301	1.17409692545	2.6420981479	-0.0055675589789	1.31040530919	1.87187482153	-0.753163793157	1.34991354047	0.766957802958	0.970966512073	-1.28543905816	0.0659507510852	2.70213089518	3.38605768143	8.13320456079
