	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	1.25336452711	-1.03496280727	-1.9206918283	-1.94792075065	-1.25218202634	-0.0889449560788	-1.01386406185	0.112489749594	0.16813825289	-0.512579649508	-0.548314394036	-1.61281421851	-0.745764160603	-2.76488410414	-3.61713453975	-0.861244086788	-0.422066745548	-0.513535548016
a	-1.03496280727	2.14793456721	-0.0138446714049	-1.70852490801	-1.61411648229	-0.848075198601	-1.56056065848	-0.715293981073	-0.847711573721	-0.646126085277	-0.475581730079	-2.18365080962	-1.10962586906	-1.08302197281	-3.23091266965	-0.908839474514	-0.737286399414	-0.391040023077
q	-1.9206918283	-0.0138446714049	4.84260462366	-2.90446223499	-2.96575912636	-1.86841168084	-1.93589889081	-1.93111711737	-1.46894581218	-0.10281227421	-1.21340961568	-2.86796672817	-2.04477442152	-2.92517240195	-0.847094463023	-1.78017437038	-2.08073909203	-3.35725415704
x	-1.94792075065	-1.70852490801	-2.90446223499	2.60274170267	0.295783352248	0.23348498704	-1.25883854374	-0.285684473779	-0.468059609678	-0.876860965724	-0.990390196601	-2.18282346977	-1.69071905798	-3.4323561904	-3.67490128151	0.00507618275464	-0.329924984017	-0.252965951045
s	-1.25218202634	-1.61411648229	-2.96575912636	0.295783352248	5.60663790439	2.66283818865	-0.636092767654	-0.0896941200177	0.139598294168	-0.532146208162	-1.05570876987	-1.60806533107	-1.76328135827	-3.40941710595	-3.91394877394	-0.223704347419	0.857149194258	1.12715597608
w	-0.0889449560788	-0.848075198601	-1.86841168084	0.23348498704	2.66283818865	8.12674065986	0.878148044788	1.50542406799	2.94263335974	0.154851298731	-1.35684978478	-0.00556650717835	-1.29075178344	-3.21048264472	-3.9598686087	-0.474524191412	0.362844291739	2.49450730441
c	-1.01386406185	-1.56056065848	-1.93589889081	-1.25883854374	-0.636092767654	0.878148044788	3.50923568815	1.11435483176	1.22760012908	0.551602512231	-0.438967936318	-1.17818933957	-1.29801990295	-3.10651033374	-3.67550590977	0.374275611068	0.238383008495	-0.0912252299949
d	0.112489749594	-0.715293981073	-1.93111711737	-0.285684473779	-0.0896941200177	1.50542406799	1.11435483176	5.42526439258	2.24601805701	0.320806294787	-0.242143148533	-0.0636075564289	-0.570641896379	-2.71813398962	-3.28739739082	0.184811503291	1.20597117456	1.26126393516
e	0.16813825289	-0.847711573721	-1.46894581218	-0.468059609678	0.139598294168	2.94263335974	1.22760012908	2.24601805701	5.64013293959	0.522861075185	0.207721444027	0.454555380256	-0.0510887336078	-2.3326891343	-3.85807185692	1.04275747632	1.86510735661	1.99450112142
b	-0.512579649508	-0.646126085277	-0.10281227421	-0.876860965724	-0.532146208162	0.154851298731	0.551602512231	0.320806294787	0.522861075185	4.806927365	0.446692466768	-0.814954403869	-0.644309189407	-2.31107346241	-3.27398125832	-0.402909386558	-0.502571382686	-0.728460374632
g	-0.548314394036	-0.475581730079	-1.21340961568	-0.990390196601	-1.05570876987	-1.35684978478	-0.438967936318	-0.242143148533	0.207721444027	0.446692466768	4.80310149653	-0.000499013302372	0.943478701542	0.742665800025	1.24620191445	1.87513039978	1.46546391286	1.29025489125
t	-1.61281421851	-2.18365080962	-2.86796672817	-2.18282346977	-1.60806533107	-0.00556650717835	-1.17818933957	-0.0636075564289	0.454555380256	-0.814954403869	-0.000499013302372	2.55961369643	-0.205389209894	-1.65086469441	-3.18678797881	0.068123881756	0.644655030826	0.820466668494
v	-0.745764160603	-1.10962586906	-2.04477442152	-1.69071905798	-1.76328135827	-1.29075178344	-1.29801990295	-0.570641896379	-0.0510887336078	-0.644309189407	0.943478701542	-0.205389209894	3.448895224	0.0412808196095	-0.522610886755	0.84373811376	1.203603413	0.959937540001
f	-2.76488410414	-1.08302197281	-2.92517240195	-3.4323561904	-3.40941710595	-3.21048264472	-3.10651033374	-2.71813398962	-2.3326891343	-2.31107346241	0.742665800025	-1.65086469441	0.0412808196095	2.80740403859	-0.317360264309	-0.971208320806	-0.963330453403	-1.23035814014
r	-3.61713453975	-3.23091266965	-0.847094463023	-3.67490128151	-3.91394877394	-3.9598686087	-3.67550590977	-3.28739739082	-3.85807185692	-3.27398125832	1.24620191445	-3.18678797881	-0.522610886755	-0.317360264309	4.72996634157	-0.261669358232	-1.11429763618	-0.0179288120558
n	-0.861244086788	-0.908839474514	-1.78017437038	0.00507618275464	-0.223704347419	-0.474524191412	0.374275611068	0.184811503291	1.04275747632	-0.402909386558	1.87513039978	0.068123881756	0.84373811376	-0.971208320806	-0.261669358232	5.58633499364	3.3600471874	2.62136267027
h	-0.422066745548	-0.737286399414	-2.08073909203	-0.329924984017	0.857149194258	0.362844291739	0.238383008495	1.20597117456	1.86510735661	-0.502571382686	1.46546391286	0.644655030826	1.203603413	-0.963330453403	-1.11429763618	3.3600471874	6.36720525555	3.25732039161
y	-0.513535548016	-0.391040023077	-3.35725415704	-0.252965951045	1.12715597608	2.49450730441	-0.0912252299949	1.26126393516	1.99450112142	-0.728460374632	1.29025489125	0.820466668494	0.959937540001	-1.23035814014	-0.0179288120558	2.62136267027	3.25732039161	7.9923096419
