	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.00507149906373	0.0413879996989	0.0176672892498	0.0151612335399	0.00363731888194	0.000264013390829	0.00235571003679	0.000433450458195	0.000167558854334	0.00267877870714	0.000875925201994	0.000153002703339	0.00130655456913	0.00560430293691	0.0190438072544	0.000319195327411	4.19458148261e-05	1.3902736521e-05	0.000278578970604	0.00010487160865	4.58502727395e-05	0.00236420065344	0.0183804275032
A	0.0413879996989	0.0844408377854	0.0720904956269	0.061864659867	0.0148418989039	0.00107729351843	0.009612357714	0.0017686730499	0.000683715576555	0.0109306233652	0.00357416924866	0.00062431992594	0.00533133097672	0.0228680795708	0.0777073089243	0.00130246066782	0.000171157812471	5.67294253351e-05	0.00113672764271	0.000427923386429	0.000187089758915	0.00964700325318	0.075000420823
=	0.0176672892498	0.0720904956269	0.0153866295504	0.0264081581174	0.00633555916835	0.000459864123308	0.00410322570168	0.000754993200645	0.000291857566045	0.0046659535633	0.00152570509334	0.000266503353538	0.00227578445775	0.00976169371085	0.0331709073542	0.000555981190737	7.30621098455e-05	2.42160813198e-05	0.000485234759065	0.000182667592051	7.98629774444e-05	0.00411801483782	0.0320154184347
l	0.0151612335399	0.061864659867	0.0264081581174	0.0113311172675	0.00543687776882	0.000394633679878	0.00352119457891	0.000647899520645	0.000250458384229	0.00400410106267	0.00130928808071	0.000228700596059	0.00195297077909	0.00837702468121	0.0284657066525	0.000477116809342	6.26984533183e-05	2.07810977179e-05	0.000416405561706	0.000156756703539	6.85346368144e-05	0.00353388591732	0.0274741206138
L	0.00363731888194	0.0148418989039	0.00633555916835	0.00543687776882	0.000652178403401	9.46762366986e-05	0.000844766851925	0.00015543703313	6.00872618772e-05	0.000960620543314	0.000314110210447	5.48673690807e-05	0.000468535589267	0.00200972499811	0.00682918391977	0.000114464695431	1.50419335948e-05	4.98557580541e-06	9.98995106926e-05	3.76073698852e-05	1.64420875053e-05	0.000847811620329	0.00659129334101
^	0.000264013390829	0.00107729351843	0.000459864123308	0.000394633679878	9.46762366986e-05	3.43601909718e-06	6.13170767469e-05	1.1282337213e-05	4.36141077226e-06	6.97262723376e-05	2.2799568706e-05	3.98252686307e-06	3.40084753802e-05	0.000145875115328	0.000495693685865	8.30837585373e-06	1.09181295946e-06	3.61876100597e-07	7.25116752647e-06	2.72971646584e-06	1.19344259205e-06	6.15380800894e-05	0.000478426489784
i	0.00235571003679	0.009612357714	0.00410322570168	0.00352119457891	0.000844766851925	6.13170767469e-05	0.000273556679579	0.000100668814289	3.89155228018e-05	0.000622146017132	0.000203433517772	3.55348585679e-05	0.000303447134017	0.0013015986508	0.00442292183476	7.41330745634e-05	9.74191020699e-06	3.22890880487e-06	6.46999308139e-05	2.43564178922e-05	1.06487200653e-05	0.000549085303804	0.00426885197115
I	0.000433450458195	0.0017686730499	0.000754993200645	0.000647899520645	0.00015543703313	1.1282337213e-05	0.000100668814289	9.26152688526e-06	7.16045308033e-06	0.000114474817349	3.7431750985e-05	6.53841113191e-06	5.58342483681e-05	0.000239494047553	0.000813817263539	1.36404797853e-05	1.79251069824e-06	5.9411896162e-07	1.19047820905e-05	4.48157894243e-06	1.95936363958e-06	0.000101031651945	0.000785468420968
+	0.000167558854334	0.000683715576555	0.000291857566045	0.000250458384229	6.00872618772e-05	4.36141077226e-06	3.89155228018e-05	7.16045308033e-06	1.38400743611e-06	4.42525065609e-05	1.44699842674e-05	2.52755224435e-06	2.15838338898e-05	9.25811646269e-05	0.00031459717192	5.27299746067e-06	6.92930491363e-07	2.29668444605e-07	4.60202916034e-06	1.73244304857e-06	7.57430798526e-07	3.90557848801e-05	0.000303638365688
n	0.00267877870714	0.0109306233652	0.0046659535633	0.00400410106267	0.000960620543314	6.97262723376e-05	0.000622146017132	0.000114474817349	4.42525065609e-05	0.000353734431954	0.000231332960005	4.04082085682e-05	0.000345062723617	0.0014801035342	0.0050294937192	8.4299891979e-05	1.10779430498e-05	3.67173039919e-06	7.35730604832e-05	2.76967252391e-05	1.21091153511e-05	0.000624388399786	0.00485429428311
