	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	2.82902717964	-0.443450671733	-1.31388978159	-1.56131298076	-1.03410586756	0.158224886403	-0.402839842753	0.685165954914	0.799309570987	-0.575966681817	0.319676062212	0.829780019165	0.0869787946807	-0.546745636118	-2.76900348964	-0.424510236941	0.194355104234	-0.069025926087	-0.335066085951	-0.0575652511393	-0.24556697651	-0.410476658974	-0.996193045785
A	-0.443450671733	1.37317880597	-0.98603214394	-2.22773466429	-1.83365195655	-0.731951201094	-1.39462604557	-0.594652944337	-0.252995899916	-1.41697445962	-1.11821925283	0.123962747116	-0.792345436923	-1.35623591582	-3.18944893092	-1.25583269912	-0.46831398509	-0.286082077329	-0.922944203225	-1.10681594343	-0.43615524544	-0.752966835201	-1.9715523548
=	-1.31388978159	-0.98603214394	2.42477739658	-2.33575643509	-2.08921033738	-0.792416640577	-1.64915777255	-1.26899065002	-1.38248682802	-1.77209363448	-2.00253989573	-0.940375565351	-0.992576814741	-1.24723770435	-1.25843089738	-1.23469604208	-1.40694546953	-1.36517351424	-0.780356959024	-1.05224278125	-0.263215207168	-0.448235706163	-2.44174551324
l	-1.56131298076	-2.22773466429	-2.33575643509	2.88408222293	-0.227969120621	0.193396891658	-1.36439354861	-0.441510300548	-1.08925232843	-1.35889132782	-1.19959538404	0.283478035959	-1.37607014823	-2.02365779599	-3.80057941764	0.167054785984	-0.382764670588	-2.15672354861	0.0488155082237	-0.1821955582	-0.60682195512	-1.12788960816	-2.4936628896
L	-1.03410586756	-1.83365195655	-2.08921033738	-0.227969120621	4.64919142354	1.42651011095	-1.0836970499	-0.595442784418	0.256400806891	-1.13088393134	-0.9578341086	-0.183546267542	-0.777465237489	-1.35356228574	-3.22099130479	0.544452149648	0.30133777519	0.0282471547123	0.830198518779	1.18832007153	1.73225132546	-0.949442260383	-1.67898725919
^	0.158224886403	-0.731951201094	-0.792416640577	0.193396891658	1.42651011095	7.15285144356	-0.0585555333529	0.746850165221	1.89716945024	0.299860198708	1.23024974046	0.979248992688	-0.679319207829	-1.84117449994	-4.02296158465	-0.287897141764	0.375786051027	1.20475697876	0.0346884465079	0.497169027166	1.41880495707	0.286770282076	-0.32242664189
i	-0.402839842753	-1.39462604557	-1.64915777255	-1.36439354861	-1.0836970499	-0.0585555333529	5.09422623802	2.63094995167	1.88683527745	-1.15654581205	-1.48477836232	-1.49076133797	-0.675292418401	-1.26521093137	-3.11006613115	0.925396101089	0.839879735847	0.549778360252	0.202220265243	0.0541716481447	1.00575511139	0.747849033823	-0.932333726055
I	0.685165954914	-0.594652944337	-1.26899065002	-0.441510300548	-0.595442784418	0.746850165221	2.63094995167	6.34311861783	3.06851685815	-1.06731355576	0.090401931695	-1.16653559111	-0.245994028231	-1.48481292155	-3.46017471785	1.52989625935	1.68724738663	1.8431379306	-0.543297837728	0.932428036175	0.405369462181	0.796956796995	-0.455885448022
+	0.799309570987	-0.252995899916	-1.38248682802	-1.08925232843	0.256400806891	1.89716945024	1.88683527745	3.06851685815	6.89871397959	-0.776644416022	0.333366187202	-0.468171664838	0.239808276428	-1.15781255034	-3.40381737057	0.483955006625	1.88271928214	2.69077515756	-0.0705379270517	0.723124366663	1.59648702872	0.312784230585	0.480122783003
n	-0.575966681817	-1.41697445962	-1.77209363448	-1.35889132782	-1.13088393134	0.299860198708	-1.15654581205	-1.06731355576	-0.776644416022	4.95713643353	2.53944621574	1.32684341742	-0.754350811809	-1.460748088	-3.31745998074	-0.199962793875	-1.10494698559	-0.428914812762	1.1931613945	0.775950911039	-0.694869717059	0.196004298816	-1.12552155876
N	0.319676062212	-1.11821925283	-2.00253989573	-1.19959538404	-0.9578341086	1.23024974046	-1.48477836232	0.090401931695	0.333366187202	2.53944621574	6.18217167069	2.08019140823	-1.35913784983	-2.00482319242	-3.9509133	-0.276364434986	-1.48116766477	-1.74783201608	-0.513348383707	-0.700226466183	-0.94815654739	0.588344795001	-1.09494932433
>	0.829780019165	0.123962747116	-0.940375565351	0.283478035959	-0.183546267542	0.979248992688	-1.49076133797	-1.16653559111	-0.468171664838	1.32684341742	2.08019140823	6.4098671697	-0.225706968573	-1.27307648199	-3.40661588889	-1.05525661732	0.0652292162107	-1.98546898293	0.569468697322	1.389366493	0.59675033083	0.340670263669	-0.377759101618
s	0.0869787946807	-0.792345436923	-0.992576814741	-1.37607014823	-0.777465237489	-0.679319207829	-0.675292418401	-0.245994028231	0.239808276428	-0.754350811809	-1.35913784983	-0.225706968573	4.17471259378	1.03587947903	0.335539899729	1.18811227112	1.73131183025	1.58927766891	1.07021357942	1.95175011754	1.13841046454	-0.223026557438	0.355042574006
S	-0.546745636118	-1.35623591582	-1.24723770435	-2.02365779599	-1.35356228574	-1.84117449994	-1.26521093137	-1.48481292155	-1.15781255034	-1.460748088	-2.00482319242	-1.27307648199	1.03587947903	3.39584866848	0.545705527753	0.45470945395	0.679223162277	0.599344479021	0.35945591174	0.335155638668	0.30751705509	-0.39855779791	-0.632862468877
~	-2.76900348964	-3.18944893092	-1.25843089738	-3.80057941764	-3.22099130479	-4.02296158465	-3.11006613115	-3.46017471785	-3.40381737057	-3.31745998074	-3.9509133	-3.40661588889	0.335539899729	0.545705527753	2.5466369251	-0.834115933198	-1.2270672921	-0.576583500009	-0.639695978221	-1.27296460418	-0.895161926432	-1.20287272833	-2.10251934137
b	-0.424510236941	-1.25583269912	-1.23469604208	0.167054785984	0.544452149648	-0.287897141764	0.925396101089	1.52989625935	0.483955006625	-0.199962793875	-0.276364434986	-1.05525661732	1.18811227112	0.45470945395	-0.834115933198	6.64950939317	4.17347010859	3.42532384236	1.24095000043	0.957328494243	1.12690495686	0.489618419858	0.109329127556
B	0.194355104234	-0.46831398509	-1.40694546953	-0.382764670588	0.30133777519	0.375786051027	0.839879735847	1.68724738663	1.88271928214	-1.10494698559	-1.48116766477	0.0652292162107	1.73131183025	0.679223162277	-1.2270672921	4.17347010859	8.0356852224	4.38928402375	1.14180631491	1.73449033733	1.445330168	0.450360049647	0.555759996107
