	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.16743991348937803	0.0430763373211066	0.03536362168647038	0.014290913884718504	0.005190437894546124	0.0009691654391954541	0.003587678289620365	0.0009617948310339735	0.0003532329194370001	0.0036891979869388735	0.0009751453665717497	0.00032847880146070634	0.0017625488271435193	0.005806787618540133	0.009329382047413839	0.0005640601264710521	9.679138264887876e-05	1.8217918285924018e-05	0.0005493189101480907	0.00019914548843849767	0.00010040715269035986	0.0042329541739462235	0.021976233107886586
A	0.0430763373211066	0.5145289008267345	0.10866946247404957	0.04391478745824957	0.015949783113449023	0.0029781646308610302	0.01102463641081258	0.002955515366198147	0.0010854553253532814	0.011336597980697579	0.0029965404493611054	0.0010093879836552955	0.005416165666743106	0.017843774452805616	0.02866841358319877	0.0017333097636350037	0.0002974318529314503	5.5982144732787347e-05	0.0016880112343092368	0.0006119574905141334	0.0003085428129547516	0.013007515430355582	0.06753113298777648
=	0.03536362168647038	0.10866946247404957	0.42240372620251926	0.03605194932286774	0.013094012422660058	0.002444931344573532	0.009050701510590899	0.0024263373768217173	0.0008911071337662178	0.009306807104153632	0.0024600170165231176	0.0008286594684865379	0.004446414099745293	0.014648889122208039	0.023535402389254615	0.0014229647773841652	0.00024417738783515255	4.595867500920257e-05	0.0013857768418805356	0.000502387958879222	0.0002532989569209485	0.010678550762825251	0.05543984441472699
l	0.014290913884718504	0.04391478745824957	0.03605194932286774	0.17069901180551056	0.005291466060707825	0.0009880295522083655	0.0036575098849004756	0.0009805154804237418	0.0003601083459046131	0.0037610055906132193	0.0009941258745996642	0.00033487240670342365	0.0017968555811004197	0.005919812591829574	0.009510971805122429	0.0005750391539327208	9.867535777543727e-05	1.8572517052560755e-05	0.0005600110103634731	0.00020302171312417558	0.00010236150619808293	0.0043153456034033906	0.022403984788022236
L	0.005190437894546124	0.015949783113449023	0.013094012422660058	0.005291466060707825	0.061997617967897385	0.00035885081038781677	0.0013284019524156833	0.0003561217110980257	0.0001307907961522535	0.001365991433199599	0.0003610649852833077	0.00012162514193370976	0.0006526151773360871	0.0021500668084005296	0.0034543702991629635	0.00020885333432816547	3.583873784329466e-05	6.745509565332759e-06	0.00020339513574858323	7.373717326379017e-05	3.717754126847521e-05	0.0015673268713709812	0.008137092740929079
^	0.0009691654391954541	0.0029781646308610302	0.002444931344573532	0.0009880295522083655	0.00035885081038781677	0.0115762773522567	0.00024804097222583656	6.64955176336881e-05	2.442143070988545e-05	0.00025505972987080363	6.741853233768376e-05	2.2710007612893478e-05	0.00012185717040042842	0.0004014633225556169	0.0006450045980994746	3.899737124381708e-05	6.691856603968611e-06	1.259530481494092e-06	3.797820917482186e-05	1.3768302667935419e-05	6.941839752967439e-06	0.0002926533495856273	0.0015193687354053732
i	0.003587678289620365	0.01102463641081258	0.009050701510590899	0.0036575098849004756	0.0013284019524156833	0.00024804097222583656	0.04285332230356125	0.00024615459376006396	9.040379817098935e-05	0.0009441858101889787	0.00024957143022636904	8.40684138897153e-05	0.0004510935976453225	0.0014861459026101025	0.0023876924410633155	0.0001443613407013909	2.477206438071204e-05	4.662558094645514e-06	0.00014058858376984564	5.0967810622384554e-05	2.5697457590336345e-05	0.0010833507120978638	0.005624433151956926
I	0.0009617948310339735	0.002955515366198147	0.0024263373768217173	0.0009805154804237418	0.0003561217110980257	6.64955176336881e-05	0.00024615459376006396	0.011488238508854548	2.4235703083594173e-05	0.0002531199729927505	6.690580709533949e-05	2.253729554466513e-05	0.00012093043341790257	0.00039841015049428135	0.0006400992682531161	3.870079201065274e-05	6.640964309520292e-06	1.2499516157286758e-06	3.768938077960511e-05	1.3663593234530258e-05	6.889046309588579e-06	0.0002904276891568659	0.0015078137715688854
+	0.0003532329194370001	0.0010854553253532814	0.0008911071337662178	0.0003601083459046131	0.0001307907961522535	2.442143070988545e-05	9.040379817098935e-05	2.4235703083594173e-05	0.004219220042291867	9.296193340103907e-05	2.4572115387819885e-05	8.277144401886846e-06	4.4413432747465666e-05	0.0001463218308640073	0.00023508561905189634	1.4213419853536433e-05	2.4389892056364288e-06	4.5906262347467273e-07	1.3841964600953873e-05	5.0181502047002395e-06	2.5301008713642267e-06	0.00010666372620856556	0.000553766191409047
n	0.0036891979869388735	0.011336597980697579	0.009306807104153632	0.0037610055906132193	0.001365991433199599	0.00025505972987080363	0.0009441858101889787	0.0002531199729927505	9.296193340103907e-05	0.04406593278815695	0.0002566334948850732	8.644727822569066e-05	0.00046385808815935795	0.0015281990272284986	0.002455256418192404	0.0001484462999506356	2.547303371933984e-05	4.794493415565401e-06	0.00014456678619452926	5.241003489381416e-05	2.642461256517725e-05	0.0011140060349845776	0.005783586427440629
