	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.0274181912863	0.0238604970957	0.00539863251029	0.00397869364416	0.00138295006407	0.000220583003154	0.00133097233568	0.000570505935091	0.000232408943683	0.00140096095135	0.000796951542493	0.0002112149242	0.00102778906648	0.00292586259458	0.00206129971237	0.000182224245459	3.35034737643e-05	4.83513752461e-06	0.000175213296048	7.43200930345e-05	2.81243832681e-05	0.0013808346914	0.00717228183275
A	0.022451437289	0.166418201037	0.0274060027104	0.00996944918355	0.00312188712839	0.000455288637161	0.00274805041211	0.000980827793273	0.000396622301862	0.00314294012303	0.00129908057442	0.000515425660123	0.00231522501803	0.00656176513465	0.00637379916338	0.00042049579339	9.47888418887e-05	2.06097736986e-05	0.000460869191721	0.000149647506387	9.43053281362e-05	0.00436419512971	0.0146562285718
=	0.00541472948896	0.0279752998611	0.0628571303088	0.00401183448261	0.00114101187018	0.000215647133598	0.00100778368497	0.000263434409466	8.03640149403e-05	0.00104934572128	0.000299778526526	0.000104479263344	0.000913196307148	0.00323305499864	0.0107081373189	0.000180511800919	2.0972409013e-05	5.25821205801e-06	0.000223463939262	7.35948224058e-05	4.64979058616e-05	0.00232435134011	0.00446903702837
l	0.00383837392391	0.0101278805231	0.00394823227775	0.0636426588389	0.00362115537062	0.000352562111169	0.000970855322129	0.000380303712717	0.000109233815243	0.00124365781055	0.000454845416221	0.000237606716522	0.000570405203059	0.00163411531207	0.00156863949142	0.000390195598236	2.91115571794e-05	1.93405500984e-06	0.00030721255047	0.000101094667077	3.62433850282e-05	0.00124766694541	0.00378023139518
L	0.00131975078734	0.00321413752308	0.001124592549	0.00344259777111	0.0124506805899	0.000185548402507	0.000294338996811	7.83292278986e-05	5.90289706129e-05	0.000337492599218	0.000129400368002	4.36774089723e-05	0.000218407191268	0.000640635575604	0.000570405203059	0.000137942444296	1.09193522431e-05	1.9944942289e-06	0.000150755558736	6.70875331539e-05	4.10986689592e-05	0.000333322293103	0.00156996915424
^	0.000227734977409	0.000531703956456	0.000188389045803	0.000334087856544	0.000201705820402	0.000372023539706	4.22268677149e-05	1.2974285691e-05	1.17655013099e-05	7.12578392689e-05	4.40803370993e-05	6.20509315658e-06	1.52105367962e-05	3.0118877497e-05	2.32690993372e-05	5.66114018506e-06	1.28937000656e-06	3.02196095288e-07	4.47250221026e-06	3.32415704817e-06	3.22342501641e-06	5.74575509174e-05	0.000285212674733
i	0.00138027059202	0.00281505735964	0.000982862580315	0.00111018786846	0.000312168566432	4.73843477412e-05	0.00710956606978	0.000491572315002	0.000120777706083	0.000222859547072	6.09831720291e-05	1.1201401932e-05	0.000149989995295	0.000426862057797	0.000393479462471	0.000107058003357	1.17050620908e-05	1.85346938443e-06	4.92982563446e-05	1.94211357238e-05	1.33973602244e-05	0.000746081866453	0.00164223431383
I	0.000490000895306	0.000801363605485	0.000213290004054	0.000345672040197	7.82284958669e-05	1.58552217994e-05	0.000457303277796	0.00057205720838	4.85125464969e-05	4.10382297401e-05	3.39668411104e-05	1.77288375902e-06	3.07031232813e-05	5.87670673303e-05	4.63568810172e-05	3.58001640885e-05	3.64649954981e-06	4.83513752461e-07	4.49264861661e-06	3.96884205145e-06	1.32966281927e-06	0.00012593518611	0.00039249228856
+	0.000211315656232	0.000476422217425	8.99939971768e-05	6.99080300433e-05	5.02048446305e-05	1.2974285691e-05	9.82338773749e-05	4.29118455309e-05	0.000125653136421	1.65200532091e-05	1.93405500984e-05	9.26734692217e-07	1.7487080714e-05	2.75602838903e-05	2.39742235595e-05	5.45967612154e-06	1.59156610185e-06	3.62635314346e-07	2.63917923218e-06	1.36995563197e-06	1.41024844468e-06	3.51957718979e-05	0.000287912293184
n	0.00133347049007	0.00308586535383	0.00102940077899	0.00113182510889	0.000329998136054	5.93714595209e-05	0.00020182669884	4.21059892768e-05	2.28057319911e-05	0.00835997292645	0.00102797038414	7.83292278986e-05	0.000148096233097	0.000378329364894	0.000376395309884	5.31260735516e-05	4.33147736579e-06	5.03660158813e-07	0.00013747907695	3.40474267358e-05	5.19777283895e-06	0.000556604914708	0.00169302340424
