	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	7.10594823793	0.735373619679	0.40223491407	0.338842564633	0.488318429481	1.11591325663	0.756367960313	1.60788692798	1.74026808905	0.670836604834	1.24805028451	1.77741432314	1.06214357456	0.684562592238	0.146705667428	0.745091630762	1.14421257445	0.953281414101	0.792747822149	0.960884377982	0.843484243221	0.752374751912	0.501321132112
A	0.735373619679	2.59040702989	0.504864400051	0.213493690042	0.280553544203	0.602089055828	0.380343262584	0.662203736202	0.839152021941	0.374496863356	0.460662078897	1.08972397329	0.577404622753	0.390600062229	0.109617578012	0.41875180113	0.722808819574	0.820126251518	0.527431556754	0.46431765923	0.739101678149	0.593382039389	0.254978524235
=	0.40223491407	0.504864400051	5.36946145575	0.198092143078	0.235009285007	0.577376125874	0.318826229304	0.414949982041	0.383557073331	0.292783542311	0.249560256812	0.521097209661	0.502579310015	0.421254001496	0.41799833553	0.424932018037	0.377109272743	0.388187747001	0.582222718873	0.482217936315	0.833228904931	0.732938621987	0.184060822644
l	0.338842564633	0.213493690042	0.198092143078	7.38236066911	0.853835989662	1.14345286099	0.388397670062	0.73636333527	0.470004889861	0.389881788363	0.435397375383	1.21712558551	0.385266820878	0.245933846542	0.07176481909	1.12276405795	0.766966425601	0.224265009797	1.03441529208	0.881360680828	0.656641594709	0.457584596089	0.177554903714
L	0.488318429481	0.280553544203	0.235009285007	0.853835989662	25.0926237165	2.68795709659	0.471818191678	0.661841295153	1.19449499339	0.456635861098	0.514829237063	0.880535901532	0.583390889813	0.391324600901	0.107246962686	1.45846639969	1.23228655236	1.01977236992	1.77792999353	2.27887228139	3.32245883667	0.517832615062	0.312301789418
^	1.11591325663	0.602089055828	0.577376125874	1.14345286099	2.68795709659	142.305877961	0.960225042377	1.67812497921	3.72481674808	1.2310251177	2.34607598525	1.97143889236	0.624459880792	0.279094480822	0.0615131392958	0.819095093897	1.29754632898	2.30498438745	1.02433559139	1.41144119917	2.67363950781	1.21990625117	0.799723594601
i	0.756367960313	0.380343262584	0.318826229304	0.388397670062	0.471818191678	0.960225042377	34.1597672037	6.19433733222	3.69823083556	0.448585280816	0.357303422363	0.355824723781	0.626205281532	0.416038535377	0.115818198668	1.89920560929	1.78990092814	1.46386078725	1.15046752899	1.03826279303	2.00799421288	1.67928725309	0.524010009075
I	1.60788692798	0.662203736202	0.414949982041	0.73636333527	0.661841295153	1.67812497921	6.19433733222	81.1837241772	8.38910473616	0.477206779537	1.06466675498	0.445489832055	0.843234600656	0.357294863393	0.0908622777732	2.88765073972	3.2204167252	3.58789564734	0.686200538072	1.90848524954	1.32442804196	1.7374323403	0.729062575685
+	1.74026808905	0.839152021941	0.383557073331	0.470004889861	1.19449499339	3.72481674808	3.69823083556	8.38910473616	119.321811864	0.583722904551	1.25994974186	0.722880127373	1.18083572661	0.448191579626	0.0944819551458	1.39857246474	3.68769485461	6.45660226323	0.952282861158	1.65075311308	3.02406055452	1.24210249909	1.39486237342
n	0.670836604834	0.374496863356	0.292783542311	0.389881788363	0.456635861098	1.2310251177	0.448585280816	0.477206779537	0.583722904551	31.0632404982	5.81365804505	2.5085321313	0.592813081249	0.363304694248	0.100310186157	0.870573014493	0.464919555293	0.742820320565	2.28653245122	1.71231830497	0.617765103479	1.1455213113	0.458336295293
N	1.24805028451	0.460662078897	0.249560256812	0.435397375383	0.514829237063	2.34607598525	0.357303422363	1.06466675498	1.25994974186	5.81365804505	72.6137910586	4.22863315502	0.389815172601	0.249165599996	0.0646631097134	0.825669068735	0.358198781616	0.297748879481	0.700594523717	0.615475585181	0.518294307145	1.5035207671	0.468152567615
>	1.77741432314	1.08972397329	0.521097209661	1.21712558551	0.880535901532	1.97143889236	0.355824723781	0.445489832055	0.722880127373	2.5085321313	4.22863315502	85.0280631271	0.855175858363	0.413776471811	0.0942988581007	0.48121161911	1.04625115557	0.252530757044	1.48397696437	2.61963623725	1.51230625872	1.26634479019	0.769632111009
s	1.06214357456	0.577404622753	0.502579310015	0.385266820878	0.583390889813	0.624459880792	0.626205281532	0.843234600656	1.18083572661	0.592813081249	0.389815172601	0.855175858363	18.0598323325	2.05036318381	1.26184954241	2.27854406477	3.32029592771	3.00898657292	2.0997441945	3.86843522684	2.2013834504	0.856766183089	1.27902332477
S	0.684562592238	0.390600062229	0.421254001496	0.245933846542	0.391324600901	0.279094480822	0.416038535377	0.357294863393	0.448191579626	0.363304694248	0.249165599996	0.413776471811	2.05036318381	10.5257320455	1.45973403013	1.37050676922	1.60127729462	1.515028023	1.28294196625	1.2615134942	1.23757594059	0.758616261384	0.64489559985
~	0.146705667428	0.109617578012	0.41799833553	0.07176481909	0.107246962686	0.0615131392958	0.115818198668	0.0908622777732	0.0944819551458	0.100310186157	0.0646631097134	0.0942988581007	1.26184954241	1.45973403013	5.84270692814	0.560926663078	0.427184944653	0.670549852772	0.641848192381	0.413808560505	0.537686842489	0.434409413613	0.232851270436
b	0.745091630762	0.41875180113	0.424932018037	1.12276405795	1.45846639969	0.819095093897	1.89920560929	2.88765073972	1.39857246474	0.870573014493	0.825669068735	0.48121161911	2.27854406477	1.37050676922	0.560926663078	100.392618936	18.044285447	10.7429912354	2.36354117906	1.94171100682	2.18389721404	1.40407346155	1.07872649764
B	1.14421257445	0.722808819574	0.377109272743	0.766966425601	1.23228655236	1.29754632898	1.78990092814	3.2204167252	3.68769485461	0.464919555293	0.358198781616	1.04625115557	3.32029592771	1.60127729462	0.427184944653	18.044285447	262.411151897	20.9558919552	2.206571223	3.32761917901	2.72325139144	1.36638121841	1.46994277927
|	0.953281414101	0.820126251518	0.388187747001	0.224265009797	1.01977236992	2.30498438745	1.46386078725	3.58789564734	6.45660226323	0.742820320565	0.297748879481	0.252530757044	3.00898657292	1.515028023	0.670549852772	10.7429912354	20.9558919552	54.1935628782	2.14979354154	5.43434836912	4.63483364603	1.07454549827	2.26818890305
y	0.792747822149	0.527431556754	0.582222718873	1.03441529208	1.77792999353	1.02433559139	1.15046752899	0.686200538072	0.952282861158	2.28653245122	0.700594523717	1.48397696437	2.0997441945	1.28294196625	0.641848192381	2.36354117906	2.206571223	2.14979354154	89.4119340044	18.9016855004	8.07466759872	1.19833077906	0.902683239079
Y	0.960884377982	0.46431765923	0.482217936315	0.881360680828	2.27887228139	1.41144119917	1.03826279303	1.90848524954	1.65075311308	1.71231830497	0.615475585181	2.61963623725	3.86843522684	1.2615134942	0.413808560505	1.94171100682	3.32761917901	5.43434836912	18.9016855004	226.848955949	12.7635073478	1.03507569313	1.13804461106
@	0.843484243221	0.739101678149	0.833228904931	0.656641594709	3.32245883667	2.67363950781	2.00799421288	1.32442804196	3.02406055452	0.617765103479	0.518294307145	1.51230625872	2.2013834504	1.23757594059	0.537686842489	2.18389721404	2.72325139144	4.63483364603	8.07466759872	12.7635073478	145.26476953	1.21533620789	1.28485113947
[	0.752374751912	0.593382039389	0.732938621987	0.457584596089	0.517832615062	1.21990625117	1.67928725309	1.7374323403	1.24210249909	1.1455213113	1.5035207671	1.26634479019	0.856766183089	0.758616261384	0.434409413613	1.40407346155	1.36638121841	1.07454549827	1.19833077906	1.03507569313	1.21533620789	22.4010162659	0.599947310077
:	0.501321132112	0.254978524235	0.184060822644	0.177554903714	0.312301789418	0.799723594601	0.524010009075	0.729062575685	1.39486237342	0.458336295293	0.468152567615	0.769632111009	1.27902332477	0.64489559985	0.232851270436	1.07872649764	1.46994277927	2.26818890305	0.902683239079	1.13804461106	1.28485113947	0.599947310077	5.65574480923
