	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.0360378098356	0.0304356431499	0.00710640057325	0.00513727125567	0.00177616984395	0.000294616042754	0.00178178359562	0.000696939325658	0.000291597327235	0.001797022813	0.00109319869756	0.000271949196395	0.00138774854041	0.00383649614618	0.00279383445361	0.000237829767032	4.79949287698e-05	1.32532203306e-05	0.000220842872243	0.000100769490446	3.86739826032e-05	0.0017787648801	0.00921449672458
A	0.0304356431499	0.218736139809	0.0363959248241	0.0132077145182	0.0041639473402	0.00064862663736	0.00365599549406	0.00117122190177	0.000573741308499	0.00409348416478	0.00164648423642	0.000680336390299	0.00307833515138	0.00893227330343	0.00851808699814	0.000545407750549	0.000123714376393	4.65252909509e-05	0.000599546030202	0.000198692385117	0.000138278354778	0.00572435846437	0.0191234966184
=	0.00710640057325	0.0363959248241	0.0826179143051	0.0052312486362	0.00148891523027	0.000265514565945	0.00130821597845	0.000313284415048	0.000111944033862	0.00136611441252	0.000380755354913	0.000138874153894	0.00114376218252	0.00411215253707	0.0138653840621	0.00023625420937	2.75523991089e-05	9.4003860487e-06	0.000282514700714	8.80855892704e-05	6.65441412405e-05	0.00301825212055	0.0058927842544
l	0.00513727125567	0.0132077145182	0.0052312486362	0.0836503944528	0.00464220191042	0.000451245010298	0.00136762377028	0.000477089451942	0.000117716665294	0.0015611260831	0.000570060593962	0.000278357346884	0.000752414843326	0.00206019390243	0.00204283628819	0.000535689604972	4.80876086322e-05	4.6604730833e-06	0.000430736280736	0.000138159194955	4.50026932106e-05	0.0016170517601	0.00487816484022
L	0.00177616984395	0.0041639473402	0.00148891523027	0.00464220191042	0.0163648672726	0.000254485662313	0.000398576368465	0.000102874647322	7.17739334789e-05	0.000438653788985	0.000161713119998	4.83126882982e-05	0.000273339394332	0.000786454832807	0.000732409233017	0.000166942912237	1.85359724904e-05	5.08415245451e-06	0.000177614336399	8.57023928074e-05	5.46281589253e-05	0.000439024508435	0.00205847270498
^	0.000294616042754	0.00064862663736	0.000265514565945	0.000451245010298	0.000254485662313	0.000488965714316	5.88781926177e-05	1.89331719009e-05	1.62454558898e-05	8.58347926109e-05	5.34895206151e-05	7.85130834772e-06	2.12369284818e-05	4.07129395771e-05	3.04916747467e-05	6.80534990004e-06	1.41667789748e-06	8.34118762068e-07	7.42762897651e-06	3.85283428193e-06	3.19083526442e-06	7.50706885861e-05	0.000382608952162
i	0.00178178359562	0.00365599549406	0.00130821597845	0.00136762377028	0.000398576368465	5.88781926177e-05	0.00934463249144	0.000623576594538	0.000143918586408	0.000279085545804	7.2687492123e-05	1.26441812345e-05	0.000190020197987	0.000541515196326	0.000512254839752	0.000140793951045	1.74370541213e-05	4.72667298505e-06	7.44351695293e-05	2.5288362469e-05	2.13825682657e-05	0.000922071951535	0.00223692116014
I	0.000696939325658	0.00117122190177	0.000313284415048	0.000477089451942	0.000102874647322	1.89331719009e-05	0.000623576594538	0.000751885244112	6.00697908492e-05	5.46281589253e-05	3.98523408543e-05	2.91279567706e-06	4.70813701256e-05	8.55699930039e-05	7.39452902563e-05	3.93889415421e-05	5.77263143272e-06	2.1316368364e-06	8.16906787612e-06	8.55302730628e-06	2.59503614865e-06	0.000175535659484	0.00057265563011
+	0.000291597327235	0.000573741308499	0.000111944033862	0.000117716665294	7.17739334789e-05	1.62454558898e-05	0.000143918586408	6.00697908492e-05	0.000165142274909	2.58312016634e-05	1.82314529423e-05	1.82711728834e-06	2.54869621743e-05	4.14940984178e-05	2.97237558864e-05	7.37466905511e-06	2.5553162076e-06	1.48287779923e-06	4.38243349594e-06	2.85983575566e-06	2.2905166006e-06	4.85112880034e-05	0.000423533731425
n	0.001797022813	0.00409348416478	0.00136611441252	0.0015611260831	0.000438653788985	8.58347926109e-05	0.000279085545804	5.46281589253e-05	2.58312016634e-05	0.0109881377323	0.00134489072402	0.000101365289562	0.000204557696412	0.000537728561946	0.000504509451247	7.33892110816e-05	5.15035235626e-06	2.72743595216e-06	0.000168227190331	4.74256096147e-05	7.48058889791e-06	0.000715250218483	0.00222489925798
