	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	2721893.0	2298768.0	536738.0	388012.0	134152.0	22252.0	134576.0	52639.0	22024.0	135727.0	82568.0	20540.0	104815.0	289766.0	211015.0	17963.0	3625.0	1001.0	16680.0	7611.0	2921.0	134348.0	695960.0
A	2298768.0	16520881.0	2748941.0	997563.0	314498.0	48990.0	276133.0	88461.0	43334.0	309176.0	124357.0	51385.0	232503.0	674644.0	643361.0	41194.0	9344.0	3514.0	45283.0	15007.0	10444.0	432354.0	1444375.0
=	536738.0	2748941.0	6240033.0	395110.0	112456.0	20054.0	98808.0	23662.0	8455.0	103181.0	28758.0	10489.0	86387.0	310586.0	1047236.0	17844.0	2081.0	710.0	21338.0	6653.0	5026.0	227965.0	445075.0
l	388012.0	997563.0	395110.0	6318015.0	350620.0	34082.0	103295.0	36034.0	8891.0	117910.0	43056.0	21024.0	56829.0	155604.0	154293.0	40460.0	3632.0	352.0	32533.0	10435.0	3399.0	122134.0	368442.0
L	134152.0	314498.0	112456.0	350620.0	1236019.0	19221.0	30104.0	7770.0	5421.0	33131.0	12214.0	3649.0	20645.0	59400.0	55318.0	12609.0	1400.0	384.0	13415.0	6473.0	4126.0	33159.0	155474.0
^	22252.0	48990.0	20054.0	34082.0	19221.0	36931.0	4447.0	1430.0	1227.0	6483.0	4040.0	593.0	1604.0	3075.0	2303.0	514.0	107.0	63.0	561.0	291.0	241.0	5670.0	28898.0
i	134576.0	276133.0	98808.0	103295.0	30104.0	4447.0	705789.0	47098.0	10870.0	21079.0	5490.0	955.0	14352.0	40900.0	38690.0	10634.0	1317.0	357.0	5622.0	1910.0	1615.0	69643.0	168952.0
I	52639.0	88461.0	23662.0	36034.0	7770.0	1430.0	47098.0	56789.0	4537.0	4126.0	3010.0	220.0	3556.0	6463.0	5585.0	2975.0	436.0	161.0	617.0	646.0	196.0	13258.0	43252.0
+	22024.0	43334.0	8455.0	8891.0	5421.0	1227.0	10870.0	4537.0	12473.0	1951.0	1377.0	138.0	1925.0	3134.0	2245.0	557.0	193.0	112.0	331.0	216.0	173.0	3664.0	31989.0
n	135727.0	309176.0	103181.0	117910.0	33131.0	6483.0	21079.0	4126.0	1951.0	829921.0	101578.0	7656.0	15450.0	40614.0	38105.0	5543.0	389.0	206.0	12706.0	3582.0	565.0	54022.0	168044.0
N	82568.0	124357.0	28758.0	43056.0	12214.0	4040.0	5490.0	3010.0	1377.0	101578.0	207429.0	4220.0	3322.0	9108.0	8032.0	1719.0	98.0	27.0	1273.0	421.0	155.0	23185.0	56125.0
>	20540.0	51385.0	10489.0	21024.0	3649.0	593.0	955.0	220.0	138.0	7656.0	4220.0	7411.0	1273.0	2642.0	2046.0	175.0	50.0	4.0	471.0	313.0	79.0	3411.0	16117.0
s	104815.0	232503.0	86387.0	56829.0	20645.0	1604.0	14352.0	3556.0	1925.0	15450.0	3322.0	1273.0	114785.0	111796.0	233795.0	7076.0	1355.0	407.0	5691.0	3947.0	982.0	19707.0	228722.0
S	289766.0	674644.0	310586.0	155604.0	59400.0	3075.0	40900.0	6463.0	3134.0	40614.0	9108.0	2642.0	111796.0	1230869.0	1160100.0	18256.0	2803.0	879.0	14915.0	5521.0	2368.0	74847.0	494667.0
~	211015.0	643361.0	1047236.0	154293.0	55318.0	2303.0	38690.0	5585.0	2245.0	38105.0	8032.0	2046.0	233795.0	1160100.0	7889291.0	25390.0	2541.0	1322.0	25356.0	6154.0	3496.0	145641.0	606924.0
b	17963.0	41194.0	17844.0	40460.0	12609.0	514.0	10634.0	2975.0	557.0	5543.0	1719.0	175.0	7076.0	18256.0	25390.0	38083.0	1799.0	355.0	1565.0	484.0	238.0	7890.0	47127.0
B	3625.0	9344.0	2081.0	3632.0	1400.0	107.0	1317.0	436.0	193.0	389.0	98.0	50.0	1355.0	2803.0	2541.0	1799.0	1719.0	91.0	192.0	109.0	39.0	1009.0	8439.0
|	1001.0	3514.0	710.0	352.0	384.0	63.0	357.0	161.0	112.0	206.0	27.0	4.0	407.0	879.0	1322.0	355.0	91.0	39.0	62.0	59.0	22.0	263.0	4316.0
y	16680.0	45283.0	21338.0	32533.0	13415.0	561.0	5622.0	617.0	331.0	12706.0	1273.0	471.0	5691.0	14915.0	25356.0	1565.0	192.0	62.0	25835.0	4112.0	768.0	5877.0	34418.0
Y	7611.0	15007.0	6653.0	10435.0	6473.0	291.0	1910.0	646.0	216.0	3582.0	421.0	313.0	3947.0	5521.0	6154.0	484.0	109.0	59.0	4112.0	9289.0	457.0	1911.0	16335.0
@	2921.0	10444.0	5026.0	3399.0	4126.0	241.0	1615.0	196.0	173.0	565.0	155.0	79.0	982.0	2368.0	3496.0	238.0	39.0	22.0	768.0	457.0	1137.0	981.0	8063.0
[	134348.0	432354.0	227965.0	122134.0	33159.0	5670.0	69643.0	13258.0	3664.0	54022.0	23185.0	3411.0	19707.0	74847.0	145641.0	7890.0	1009.0	263.0	5877.0	1911.0	981.0	466179.0	194133.0
:	695960.0	1444375.0	445075.0	368442.0	155474.0	28898.0	168952.0	43252.0	31989.0	168044.0	56125.0	16117.0	228722.0	494667.0	606924.0	47127.0	8439.0	4316.0	34418.0	16335.0	8063.0	194133.0	7114057.0
