	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	94946.0	88389.0	37252.0	21331.0	10681.0	4181.0	9994.0	4173.0	2169.0	10163.0	3697.0	2015.0	7967.0	18688.0	12917.0	2004.0	493.0	125.0	1799.0	765.0	562.0	11687.0	35891.0
A	87196.0	356168.0	118504.0	39981.0	17396.0	5637.0	17510.0	6240.0	3370.0	17339.0	5660.0	3316.0	13174.0	38589.0	28373.0	3830.0	910.0	378.0	3655.0	1296.0	899.0	24602.0	61807.0
=	37698.0	117444.0	251235.0	18933.0	7276.0	2144.0	8996.0	2670.0	1413.0	9086.0	2696.0	1228.0	5104.0	15945.0	19538.0	1640.0	322.0	108.0	1725.0	611.0	343.0	16830.0	24754.0
l	20570.0	40544.0	19012.0	132722.0	16900.0	3377.0	5354.0	2111.0	1195.0	5212.0	1975.0	1266.0	4215.0	10734.0	9141.0	2085.0	415.0	99.0	1924.0	796.0	494.0	6300.0	19397.0
L	11160.0	17052.0	7236.0	16836.0	34983.0	3502.0	2407.0	959.0	727.0	2504.0	886.0	736.0	1568.0	3990.0	2984.0	719.0	217.0	171.0	645.0	354.0	291.0	2851.0	8715.0
^	3953.0	5374.0	2200.0	3229.0	3332.0	6700.0	1001.0	431.0	348.0	1049.0	472.0	360.0	349.0	924.0	729.0	161.0	71.0	15.0	112.0	74.0	50.0	904.0	3551.0
i	9838.0	17350.0	9120.0	5547.0	2390.0	1091.0	23670.0	3772.0	1163.0	1481.0	356.0	217.0	1376.0	3691.0	3005.0	1133.0	199.0	53.0	572.0	166.0	144.0	4685.0	9630.0
I	4191.0	6224.0	2540.0	2080.0	970.0	395.0	3806.0	6138.0	949.0	467.0	185.0	103.0	497.0	1234.0	914.0	433.0	99.0	43.0	124.0	59.0	23.0	1333.0	3669.0
+	2123.0	3693.0	1207.0	1207.0	560.0	456.0	1168.0	972.0	2032.0	304.0	40.0	77.0	248.0	581.0	404.0	151.0	48.0	108.0	67.0	21.0	7.0	594.0	2455.0
n	9840.0	17613.0	9225.0	5421.0	2445.0	1110.0	1475.0	481.0	221.0	25338.0	3480.0	1088.0	1467.0	3620.0	2762.0	575.0	81.0	36.0	1019.0	299.0	136.0	4791.0	9666.0
N	3801.0	5620.0	2577.0	1966.0	912.0	512.0	424.0	148.0	75.0	3458.0	5224.0	973.0	471.0	1230.0	875.0	164.0	30.0	12.0	286.0	240.0	76.0	1219.0	3608.0
>	2092.0	3315.0	1175.0	1262.0	707.0	454.0	205.0	80.0	69.0	1122.0	1111.0	2044.0	230.0	579.0	351.0	40.0	45.0	6.0	128.0	57.0	56.0	519.0	2363.0
s	8047.0	13346.0	5224.0	4047.0	1552.0	302.0	1455.0	534.0	282.0	1462.0	485.0	203.0	8448.0	11052.0	8134.0	1427.0	327.0	86.0	1484.0	589.0	328.0	2693.0	11188.0
S	19063.0	38083.0	15859.0	10690.0	4158.0	870.0	3664.0	1188.0	620.0	3648.0	1143.0	697.0	11114.0	43684.0	27655.0	2995.0	567.0	210.0	3126.0	1170.0	813.0	7541.0	26771.0
~	12663.0	28281.0	19707.0	8707.0	3198.0	707.0	2847.0	885.0	402.0	2841.0	863.0	442.0	8055.0	27707.0	80172.0	2572.0	545.0	156.0	2704.0	847.0	588.0	6586.0	17843.0
b	2027.0	3860.0	1680.0	2086.0	703.0	140.0	1156.0	354.0	156.0	604.0	174.0	64.0	1422.0	2935.0	2630.0	3291.0	376.0	82.0	260.0	110.0	50.0	1172.0	4016.0
B	400.0	971.0	263.0	483.0	157.0	61.0	189.0	192.0	27.0	66.0	37.0	9.0	342.0	706.0	561.0	448.0	656.0	15.0	33.0	13.0	42.0	194.0	861.0
|	198.0	326.0	128.0	101.0	112.0	28.0	48.0	20.0	76.0	30.0	20.0	13.0	94.0	215.0	115.0	78.0	45.0	70.0	30.0	7.0	8.0	74.0	416.0
y	1860.0	3638.0	1772.0	1825.0	704.0	91.0	528.0	122.0	52.0	1006.0	323.0	138.0	1502.0	3141.0	2609.0	261.0	30.0	7.0	3035.0	626.0	272.0	1172.0	3469.0
Y	775.0	1325.0	541.0	726.0	300.0	53.0	160.0	46.0	15.0	349.0	264.0	62.0	581.0	1196.0	928.0	103.0	16.0	6.0	642.0	868.0	186.0	351.0	1482.0
@	477.0	992.0	360.0	483.0	195.0	65.0	114.0	41.0	25.0	183.0	56.0	86.0	315.0	856.0	506.0	55.0	15.0	8.0	285.0	189.0	495.0	203.0	971.0
[	11628.0	24955.0	16819.0	6266.0	2848.0	848.0	4812.0	1283.0	578.0	4782.0	1198.0	532.0	2782.0	7303.0	6601.0	1175.0	233.0	66.0	1156.0	370.0	226.0	21462.0	11097.0
:	36046.0	62285.0	24493.0	19802.0	8641.0	3630.0	9496.0	3661.0	2490.0	9779.0	3476.0	2196.0	11045.0	26462.0	17908.0	3967.0	1003.0	346.0	3385.0	1350.0	906.0	11092.0	188030.0
