	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	2.3815497364	0.498482116904	0.272597427695	0.263519107935	0.421350433436	0.939158200716	0.51055840378	1.08560149076	1.14670479679	0.70690455311	0.685765004954	0.32249307452	0.59307918676	0.139951409856	0.0779870201235	0.574465142487	0.759676314859	0.685830519708
a	0.498482116904	4.54322864694	1.05958581136	0.32471118862	0.351374588928	0.593951083198	0.35221649531	0.587756455402	0.596994533123	0.650135629048	0.749609602094	0.227794725276	0.470399635204	0.492254298157	0.107871595113	0.579915401657	0.643645698258	0.810409394394
q	0.272597427695	1.05958581136	30.6649881636	0.139710392796	0.130464926232	0.21560768176	0.269820707947	0.272516153206	0.322807251136	0.956109864274	0.381471446686	0.141696066877	0.222656371186	0.131399281737	0.541396135573	0.318371332803	0.217798762346	0.0933649081048
x	0.263519107935	0.32471118862	0.139710392796	6.07082713146	1.25628302024	1.25043297085	0.425400885375	0.793978139532	0.749175332587	0.554566733105	0.484922865976	0.213457027563	0.30051214878	0.0854480566809	0.0754596748592	1.02057197367	0.761029078205	0.778875117043
s	0.421350433436	0.351374588928	0.130464926232	1.25628302024	48.2097864754	5.74999788499	0.633297834101	1.09955492609	1.11580642374	0.698180906022	0.492371554924	0.31321465359	0.296930118382	0.0935664935946	0.0657627590377	0.922903305383	1.82265141022	2.25651587069
w	0.939158200716	0.593951083198	0.21560768176	1.25043297085	5.74999788499	276.384854103	1.88103560014	2.78657418693	7.60001676645	1.14295429659	0.396372082769	0.956777659469	0.383605910621	0.107727224419	0.0598845683857	0.810632464304	1.45273342637	6.24238850252
c	0.51055840378	0.35221649531	0.269820707947	0.425400885375	0.633297834101	1.88103560014	11.4285689006	2.16161638113	2.47593712604	1.49504617891	0.740121740382	0.452040161941	0.405891671764	0.109729639337	0.0751454865422	1.33452771595	1.247403934	0.996148299094
d	1.08560149076	0.587756455402	0.272516153206	0.793978139532	1.09955492609	2.78657418693	2.16161638113	44.2984429674	4.96533996669	1.25871055376	0.855911973697	0.960173551626	0.65342569093	0.135396264539	0.0987048536989	1.13109533117	2.04826548883	2.48011206203
e	1.14670479679	0.596994533123	0.322807251136	0.749175332587	1.11580642374	7.60001676645	2.47593712604	4.96533996669	45.9573053549	1.50573844394	1.19000309055	1.22259095456	0.94125418228	0.190906329026	0.0656782090619	2.110966039	3.82960606939	3.66007908428
b	0.70690455311	0.650135629048	0.956109864274	0.554566733105	0.698180906022	1.14295429659	1.49504617891	1.25871055376	1.50573844394	27.7035130001	1.39775803766	0.556028634175	0.641453639052	0.194097837534	0.10232176761	0.787366201067	0.726418817806	0.593301035897
g	0.685765004954	0.749609602094	0.381471446686	0.484922865976	0.492371554924	0.396372082769	0.740121740382	0.855911973697	1.19000309055	1.39775803766	26.3785254487	0.984542367504	1.89103954521	1.67058930655	2.39485014981	3.57458407057	2.99603005916	2.54896849247
t	0.32249307452	0.227794725276	0.141696066877	0.213457027563	0.31321465359	0.956777659469	0.452040161941	0.960173551626	1.22259095456	0.556028634175	0.984542367504	5.74731749694	0.834077017346	0.306647032986	0.100504780689	1.01780000662	1.52337917782	1.70167768632
v	0.59307918676	0.470399635204	0.222656371186	0.30051214878	0.296930118382	0.383605910621	0.405891671764	0.65342569093	0.94125418228	0.641453639052	1.89103954521	0.834077017346	11.0226678881	1.0230445045	0.681166793859	1.7730613371	2.23629851843	1.96015333095
f	0.139951409856	0.492254298157	0.131399281737	0.0854480566809	0.0935664935946	0.107727224419	0.109729639337	0.135396264539	0.190906329026	0.194097837534	1.67058930655	0.306647032986	1.0230445045	6.75854700937	0.780113204872	0.497659469473	0.464314416253	0.410245934469
r	0.0779870201235	0.107871595113	0.541396135573	0.0754596748592	0.0657627590377	0.0598845683857	0.0751454865422	0.0987048536989	0.0656782090619	0.10232176761	2.39485014981	0.100504780689	0.681166793859	0.780113204872	26.2502051808	0.892237561264	0.42561874035	1.04677454789
n	0.574465142487	0.579915401657	0.318371332803	1.02057197367	0.922903305383	0.810632464304	1.33452771595	1.13109533117	2.110966039	0.787366201067	3.57458407057	1.01780000662	1.7730613371	0.497659469473	0.892237561264	47.1236959556	10.425946075	6.50762399254
h	0.759676314859	0.643645698258	0.217798762346	0.761029078205	1.82265141022	1.45273342637	1.247403934	2.04826548883	3.82960606939	0.726418817806	2.99603005916	1.52337917782	2.23629851843	0.464314416253	0.42561874035	10.425946075	89.1087837275	10.4545400133
y	0.685830519708	0.810409394394	0.0933649081048	0.778875117043	2.25651587069	6.24238850252	0.996148299094	2.48011206203	3.66007908428	0.593301035897	2.54896849247	1.70167768632	1.96015333095	0.410245934469	1.04677454789	6.50762399254	10.4545400133	280.762133326
