	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	0.242533507347	0.0443953092696	0.00373365333322	0.0211618448788	0.0029917937251	0.000232000442407	0.0169926355586	0.00228839464055	0.000648098243676	0.00611695546964	0.0011333025597	0.0257530128995	0.0141452543921	0.00998869159018	0.00151034072325	0.00162853552563	0.000359390344567	9.6743910975e-05
a	0.0443953092696	0.0884641924971	0.00634590824442	0.0114020800149	0.00109094779416	6.41573109131e-05	0.00512590344786	0.000541755482083	0.000147538371503	0.00245993665071	0.00054169036098	0.00795420413116	0.00490580714312	0.0153626543445	0.000913492787825	0.000718858834458	0.000133146607687	4.99869588479e-05
q	0.00373365333322	0.00634590824442	0.0141219670856	0.00075446705371	6.22948473604e-05	3.58166067826e-06	0.000603894038796	3.86298384426e-05	1.22688158506e-05	0.00055635563343	4.239383821e-05	0.000760914042931	0.000357111105954	0.000630658812228	0.000705079209012	6.06928682207e-05	6.92888538485e-06	8.85647004079e-07
x	0.0211618448788	0.0114020800149	0.00075446705371	0.0961077950143	0.00351702147118	0.000121789487281	0.00558229818781	0.000659885163363	0.000166944460269	0.00189202853357	0.000315967592926	0.00672074531467	0.00282591725093	0.00240454464029	0.000576191521477	0.00114071334125	0.000141950980845	4.3318557876e-05
s	0.0029917937251	0.00109094779416	6.22948473604e-05	0.00351702147118	0.00596677318135	4.95180869045e-05	0.000734800480531	8.08022649016e-05	2.19848844542e-05	0.000210614672102	2.83667525718e-05	0.000871958548178	0.000246887126608	0.000232807944087	4.43995681898e-05	9.12086171995e-05	3.00599012561e-05	1.10966359923e-05
w	0.000232000442407	6.41573109131e-05	3.58166067826e-06	0.000121789487281	4.95180869045e-05	4.14039974407e-05	7.59312063791e-05	7.12424869458e-06	5.20968825929e-06	1.1995307217e-05	7.94477459541e-07	9.26673299121e-05	1.10966359923e-05	9.32534198412e-06	1.40661583001e-06	2.78718321872e-06	8.33550121486e-07	1.06798609315e-06
c	0.0169926355586	0.00512590344786	0.000603894038796	0.00558229818781	0.000734800480531	7.59312063791e-05	0.0310778092209	0.000744581670238	0.000228666241921	0.00211398730185	0.000199869690068	0.00589872162846	0.00158190881571	0.00127975992089	0.000237809244816	0.000618207657288	9.64313296794e-05	2.29617010028e-05
d	0.00228839464055	0.000541755482083	3.86298384426e-05	0.000659885163363	8.08022649016e-05	7.12424869458e-06	0.000744581670238	0.00048321161027	2.90440120455e-05	0.00011272462971	1.46392240086e-05	0.000793552739875	0.000161291948508	0.000100012990358	1.97837911646e-05	3.31857142117e-05	1.00286498991e-05	3.6207333402e-06
e	0.000648098243676	0.000147538371503	1.22688158506e-05	0.000166944460269	2.19848844542e-05	5.20968825929e-06	0.000228666241921	2.90440120455e-05	3.60380185336e-05	3.61552365195e-05	5.4571484516e-06	0.000270916813704	6.22948473604e-05	3.78093125418e-05	3.52956379567e-06	1.66058813265e-05	5.02734917021e-06	1.4326642713e-06
b	0.00611695546964	0.00245993665071	0.00055635563343	0.00189202853357	0.000210614672102	1.1995307217e-05	0.00211398730185	0.00011272462971	3.61552365195e-05	0.00509227491014	9.81375025843e-05	0.00188641509447	0.000649973731449	0.000588551506872	8.41885622701e-05	9.48293505397e-05	1.46001513467e-05	3.55561223696e-06
