	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	2.80360224214	-0.399058914139	-1.24756974045	-1.47110510602	-0.978923355419	0.159157143708	-0.331511739654	0.72158906766	0.794805159731	-0.443616882909	0.300051912777	0.83761916957	0.0620167432619	-0.564956264985	-2.9148264004	-0.389862021696	0.224355121358	-0.0732956327047	-0.319994154626	0.217561052817	-0.382218225459	-0.390979105962	-0.990131924552
A	-0.399058914139	1.35149454868	-0.957019877626	-2.07454534989	-1.60144806947	-0.75302219999	-1.26682577925	-0.591260521887	-0.250604739618	-1.21823274368	-1.1122451567	0.160350435523	-0.796720919948	-1.3962816855	-3.33040980695	-1.22525172029	-0.405426929326	-0.298652279374	-0.972288614064	-0.960610627074	-0.533803258074	-0.719171063823	-1.97347579363
=	-1.24756974045	-0.957019877626	2.44236128613	-2.14856236175	-1.66176326881	-0.860825354681	-1.51038697593	-1.0210004397	-1.25046881894	-1.55735564933	-2.00459265443	-0.870435172451	-1.01436343503	-1.28100299075	-1.23482342901	-1.2531393564	-1.41441348934	-1.31967751337	-0.994919725902	-0.822773538673	-0.162284607011	-0.407949036491	-2.39049478558
l	-1.47110510602	-2.07454534989	-2.14856236175	2.87754136245	-0.140786238973	0.232550433529	-1.1392202217	-0.335250436179	-1.1362206464	-1.08404307819	-1.13504626497	0.213547657472	-1.41911724305	-2.09493873489	-3.96975186181	0.144707002548	-0.624007961865	-2.12915042895	-0.101686988701	-0.221894975335	-1.14863979983	-1.03581919869	-2.49513558608
L	-0.978923355419	-1.60144806947	-1.66176326881	-0.140786238973	4.65423074032	1.51654686206	-0.731166708767	-0.438124093841	0.394964616472	-0.916887367312	-0.836560862581	-0.134371703996	-0.854697132551	-1.40671867203	-3.33242099571	0.25849638546	0.139900039747	0.109011052674	0.828284857454	1.45979068037	1.51101113902	-0.908252730789	-1.60520956115
^	0.159157143708	-0.75302219999	-0.860825354681	0.232550433529	1.51654686206	7.13369081034	0.0466941323757	0.750112475105	1.83409393116	0.492414556953	1.22771631736	0.949080637763	-0.731876521411	-2.1162975996	-4.61972000074	-0.341687164163	0.485039103878	1.22998343269	0.250467267091	0.881186818782	1.62345961612	0.262054768066	-0.361570403847
i	-0.331511739654	-1.26682577925	-1.51038697593	-1.1392202217	-0.731166708767	0.0466941323757	5.0798909862	2.529190901	1.82683755135	-0.992503405277	-1.46172581375	-1.13367531456	-0.652588903004	-1.17322934334	-3.1618721623	1.03029884928	0.924647497974	0.594174875205	-0.113171429751	0.538169844529	0.668992989199	0.858513920377	-0.938743886553
I	0.72158906766	-0.591260521887	-1.0210004397	-0.335250436179	-0.438124093841	0.750112475105	2.529190901	6.26485206476	3.00220650461	-0.920310037832	0.108212232711	-1.17799997946	-0.178578046088	-1.50797067037	-3.59978537898	1.57045473416	1.82473725596	1.80118919923	-0.686777753419	0.273173613168	0.464874970385	0.849068871214	-0.51061642381
+	0.794805159731	-0.250604739618	-1.25046881894	-1.1362206464	0.394964616472	1.83409393116	1.82683755135	3.00220650461	6.78400025392	-0.598854760059	0.304096153671	-0.316529607019	0.312905459454	-1.16912847926	-3.58305986843	0.475079500977	1.88048826753	2.57678385384	-0.0122537889058	1.30572920298	1.78420946299	0.2708787835	0.463017953898
n	-0.443616882909	-1.21823274368	-1.55735564933	-1.08404307819	-0.916887367312	0.492414556953	-0.992503405277	-0.920310037832	-0.598854760059	5.03019352267	2.67160920326	1.48028429476	-0.886879180252	-1.51000280084	-3.45237666976	-0.128285700172	-1.18752718077	-0.250629530265	1.20994514039	1.3672234857	-0.968153215853	0.283065117047	-1.13033415102
N	0.300051912777	-1.1122451567	-2.00459265443	-1.13504626497	-0.836560862581	1.22771631736	-1.46172581375	0.108212232711	0.304096153671	2.67160920326	6.16035899496	2.09091852811	-1.47072535388	-2.22755404857	-4.3110477856	-0.305802473251	-1.58456303476	-1.78439283918	-0.442683588537	-0.169338456566	-0.848934760634	0.630603500444	-1.12277586988
>	0.83761916957	0.160350435523	-0.870435172451	0.213547657472	-0.134371703996	0.949080637763	-1.13367531456	-1.17799997946	-0.316529607019	1.48028429476	2.09091852811	6.42594696595	-0.25067054649	-1.42530312268	-3.60224870486	-1.13048278498	0.0466359739368	-2.02489499763	0.537217699481	0.279458545518	0.0294138977622	0.372485640041	-0.489789412453
s	0.0620167432619	-0.796720919948	-1.01436343503	-1.41911724305	-0.854697132551	-0.731876521411	-0.652588903004	-0.178578046088	0.312905459454	-0.886879180252	-1.47072535388	-0.25067054649	4.18857544601	1.02924033339	0.364554856554	1.23133787865	1.79754818343	1.64958654862	1.10174354123	1.79676746051	1.39706223661	-0.353179852925	0.399331887169
S	-0.564956264985	-1.3962816855	-1.28100299075	-2.09493873489	-1.40671867203	-2.1162975996	-1.17322934334	-1.50797067037	-1.16912847926	-1.51000280084	-2.22755404857	-1.42530312268	1.02924033339	3.42793264341	0.564500669196	0.428267131141	0.556403378933	0.630440695668	0.260964175954	0.276758878795	0.301476754656	-0.433116104845	-0.640136240896
~	-2.9148264004	-3.33040980695	-1.23482342901	-3.96975186181	-3.33242099571	-4.61972000074	-3.1618721623	-3.59978537898	-3.58305986843	-3.45237666976	-4.3110477856	-3.60224870486	0.364554856554	0.564500669196	2.52171419363	-0.911754756944	-1.49375412872	-0.611958931693	-0.575389158565	-1.31231933701	-1.44822494287	-1.24144739766	-2.14907462926
b	-0.389862021696	-1.22525172029	-1.2531393564	0.144707002548	0.25849638546	-0.341687164163	1.03029884928	1.57045473416	0.475079500977	-0.128285700172	-0.305802473251	-1.13048278498	1.23133787865	0.428267131141	-0.911754756944	6.70862784316	4.28260774448	3.40170076702	1.27085638324	1.11908308405	0.868044673529	0.54296312102	0.0885094982303
B	0.224355121358	-0.405426929326	-1.41441348934	-0.624007961865	0.139900039747	0.485039103878	0.924647497974	1.82473725596	1.88048826753	-1.18752718077	-1.58456303476	0.0466359739368	1.79754818343	0.556403378933	-1.49375412872	4.28260774448	8.26819290088	4.45231680478	1.33567604076	1.79989087653	1.99883105998	0.464777601894	0.568064125846
|	-0.0732956327047	-0.298652279374	-1.31967751337	-2.12915042895	0.109011052674	1.22998343269	0.594174875205	1.80118919923	2.57678385384	-0.250629530265	-1.78439283918	-2.02489499763	1.64958654862	0.630440695668	-0.611958931693	3.40170076702	4.45231680478	5.6502465082	1.43407007063	3.12557612715	2.66913143775	0.135077979662	1.1289187665
y	-0.319994154626	-0.972288614064	-0.994919725902	-0.101686988701	0.828284857454	0.250467267091	-0.113171429751	-0.686777753419	-0.0122537889058	1.20994514039	-0.442683588537	0.537217699481	1.10174354123	0.260964175954	-0.575389158565	1.27085638324	1.33567604076	1.43407007063	6.96647570608	4.88397265576	3.31057122702	0.121219293439	0.019380940544
