	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	6.98181554407	0.758352803831	0.421157061092	0.360705891913	0.507358226475	1.11663458335	0.794703311023	1.64899733554	1.73484306275	0.735288903041	1.23118871465	1.7870985193	1.04392404266	0.67597590828	0.132601922711	0.763202593131	1.16825492677	0.950464315	0.801073123295	1.16276621029	0.767256982119	0.762611871184	0.503431737549
A	0.758352803831	2.55176336524	0.515119879377	0.237410335811	0.329546037949	0.593359268228	0.415573112633	0.663762706091	0.840544007574	0.429808898339	0.462573602359	1.11755856387	0.575656091853	0.379907030197	0.0994138173142	0.427722877582	0.755012832653	0.813011531689	0.509696865409	0.513839382498	0.69073141346	0.607446365305	0.254638806697
=	0.421157061092	0.515119879377	5.4353061014	0.225537250431	0.316052631295	0.550637452382	0.351017052553	0.492774518284	0.420311600754	0.339773290148	0.249205419033	0.546981834932	0.495046711076	0.411509319566	0.42489449909	0.419534291894	0.375162234107	0.400624480657	0.501763792501	0.565354020801	0.893608858684	0.753694078713	0.190716981754
l	0.360705891913	0.237410335811	0.225537250431	7.3489664356	0.907024710882	1.17491015088	0.454004901515	0.792646529844	0.454949826498	0.471705040348	0.455320315153	1.15953603664	0.373941049405	0.234078001943	0.0638242344442	1.10550611289	0.648865802535	0.228592435936	0.931942604341	0.857438453781	0.451050289643	0.487738851302	0.17737374896
L	0.507358226475	0.329546037949	0.316052631295	0.907024710882	25.180425211	2.8610542667	0.602416542008	0.738093712762	1.31491051032	0.529650516089	0.559976867991	0.911066518137	0.552981402812	0.377168560507	0.0992753260543	1.19623131111	1.10182877064	1.0784886941	1.77557322356	2.7506845124	2.85009723376	0.53283001889	0.32868794245
^	1.11663458335	0.593359268228	0.550637452382	1.17491015088	2.8610542667	140.428389023	1.032895379	1.68192395122	3.56547411734	1.40679738364	2.34195980866	1.93064195772	0.602120223179	0.230638042166	0.0406748264153	0.789117935643	1.39962380152	2.34564296193	1.18959234357	1.84188989065	3.08113013202	1.1991854368	0.778316904094
i	0.794703311023	0.415573112633	0.351017052553	0.454004901515	0.602416542008	1.032895379	33.8220215213	5.77247852564	3.54758573705	0.502604883692	0.363058563218	0.455753198222	0.636137745459	0.44342765586	0.111733045559	2.04244729348	1.89822038207	1.50960894355	0.924553410558	1.45212922503	1.58996277543	1.81316965326	0.521686900654
I	1.64899733554	0.663762706091	0.492774518284	0.792646529844	0.738093712762	1.68192395122	5.77247852564	76.8968216966	8.01224482102	0.528395454918	1.07789170042	0.441963771824	0.883573437864	0.351605447956	0.0824815137868	2.96998312559	3.5424248702	3.48507378132	0.621239835264	1.20846326048	1.38019773486	1.80133794971	0.701922461675
+	1.73484306275	0.840544007574	0.420311600754	0.454949826498	1.31491051032	3.56547411734	3.54758573705	8.01224482102	110.201515503	0.66027788909	1.23464489156	0.802999165175	1.24220687666	0.444689893132	0.0834433061843	1.38999481462	3.68199653121	5.96608219478	0.991542290153	2.47208646224	3.44429678996	1.2065425407	1.37842230691
n	0.735288903041	0.429808898339	0.339773290148	0.471705040348	0.529650516089	1.40679738364	0.502604883692	0.528395454918	0.66027788909	32.6767709808	6.37139465529	2.79003707796	0.540782668159	0.351110537289	0.0913547358238	0.914917966906	0.439054768105	0.840529564154	2.31328840153	2.57973609337	0.511159976652	1.21677727749	0.456809908451
N	1.23118871465	0.462573602359	0.249205419033	0.455320315153	0.559976867991	2.34195980866	0.363058563218	1.07789170042	1.23464489156	6.37139465529	71.5241724358	4.26019222515	0.360800850903	0.21352041969	0.0503785082807	0.808992104022	0.333425642348	0.290298125383	0.735764722942	0.889250350742	0.555194522411	1.54821249804	0.459209416161
>	1.7870985193	1.11755856387	0.546981834932	1.15953603664	0.911066518137	1.93064195772	0.455753198222	0.441963771824	0.802999165175	2.79003707796	4.26019222515	85.98105849	0.840505668002	0.372341125477	0.0823408011056	0.456762847939	1.03285374139	0.245723033223	1.45117116982	1.21373927327	1.02059741855	1.29458136316	0.712129038381
s	1.04392404266	0.575656091853	0.495046711076	0.373941049405	0.552981402812	0.602120223179	0.636137745459	0.883573437864	1.24220687666	0.540782668159	0.360800850903	0.840505668002	18.2342056406	2.04094928459	1.28748431503	2.34784615689	3.47628938162	3.13743712766	2.14613903332	3.47440867605	2.63364745494	0.782856695697	1.31889698744
S	0.67597590828	0.379907030197	0.411509319566	0.234078001943	0.377168560507	0.230638042166	0.44342765586	0.351605447956	0.444689893132	0.351110537289	0.21352041969	0.372341125477	2.04094928459	10.7624351795	1.47887556742	1.34561634139	1.47059845967	1.54803779573	1.19827926609	1.21147016749	1.23240526822	0.740660289941	0.641652351485
~	0.132601922711	0.0994138173142	0.42489449909	0.0638242344442	0.0992753260543	0.0406748264153	0.111733045559	0.0824815137868	0.0834433061843	0.0913547358238	0.0503785082807	0.0823408011056	1.28748431503	1.47887556742	5.74264027898	0.531538185428	0.355087350235	0.654307661234	0.671105200262	0.402673004978	0.366472045065	0.422948116495	0.225457181605
b	0.763202593131	0.427722877582	0.419534291894	1.10550611289	1.19623131111	0.789117935643	2.04244729348	2.96998312559	1.38999481462	0.914917966906	0.808992104022	0.456762847939	2.34784615689	1.34561634139	0.531538185428	104.591938086	19.4622654076	10.5685149758	2.41304761451	2.1720887985	1.82518749375	1.45696186974	1.06327110997
B	1.16825492677	0.755012832653	0.375162234107	0.648865802535	1.10182877064	1.39962380152	1.89822038207	3.5424248702	3.68199653121	0.439054768105	0.333425642348	1.03285374139	3.47628938162	1.47059845967	0.355087350235	19.4622654076	308.300389284	21.8917716	2.52393724686	3.48193887415	3.99676032272	1.3801045875	1.48253290492
|	0.950464315	0.813011531689	0.400624480657	0.228592435936	1.0784886941	2.34564296193	1.50960894355	3.48507378132	5.96608219478	0.840529564154	0.290298125383	0.245723033223	3.13743712766	1.54803779573	0.654307661234	10.5685149758	21.8917716	50.2219627816	2.70207940388	8.72754643186	6.36046145551	1.09815216883	2.18694777154
y	0.801073123295	0.509696865409	0.501763792501	0.931942604341	1.77557322356	1.18959234357	0.924553410558	0.621239835264	0.991542290153	2.31328840153	0.735764722942	1.45117116982	2.14613903332	1.19827926609	0.671105200262	2.41304761451	2.52393724686	2.70207940388	125.059921459	29.5272001133	9.92158921954	1.08765370451	1.01352448381
Y	1.16276621029	0.513839382498	0.565354020801	0.857438453781	2.7506845124	1.84188989065	1.45212922503	1.20846326048	2.47208646224	2.57973609337	0.889250350742	1.21373927327	3.47440867605	1.21147016749	0.402673004978	2.1720887985	3.48193887415	8.72754643186	29.5272001133	143.48267425	11.8894031217	0.961385692656	1.41473457168
@	0.767256982119	0.69073141346	0.893608858684	0.451050289643	2.85009723376	3.08113013202	1.58996277543	1.38019773486	3.44429678996	0.511159976652	0.555194522411	1.02059741855	2.63364745494	1.23240526822	0.366472045065	1.82518749375	3.99676032272	6.36046145551	9.92158921954	11.8894031217	279.626616931	0.762053785862	1.79693188995
[	0.762611871184	0.607446365305	0.753694078713	0.487738851302	0.53283001889	1.1991854368	1.81316965326	1.80133794971	1.2065425407	1.21677727749	1.54821249804	1.29458136316	0.782856695697	0.740660289941	0.422948116495	1.45696186974	1.3801045875	1.09815216883	1.08765370451	0.961385692656	0.762053785862	22.3168911734	0.596349694403
:	0.503431737549	0.254638806697	0.190716981754	0.17737374896	0.32868794245	0.778316904094	0.521686900654	0.701922461675	1.37842230691	0.456809908451	0.459209416161	0.712129038381	1.31889698744	0.641652351485	0.225457181605	1.06327110997	1.48253290492	2.18694777154	1.01352448381	1.41473457168	1.79693188995	0.596349694403	5.47400592192
