	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	2458321.0	2212145.0	501883.0	377198.0	121641.0	21477.0	125131.0	51296.0	21930.0	121345.0	77107.0	19589.0	90964.0	259045.0	180951.0	17068.0	3270.0	994.0	12377.0	5293.0	1787.0	123451.0	668856.0
A	2212145.0	15416819.0	2542780.0	1028390.0	327283.0	47274.0	271050.0	85530.0	44013.0	293820.0	120003.0	50743.0	207781.0	603064.0	561953.0	39623.0	8754.0	3522.0	32621.0	9689.0	6664.0	407325.0	1401389.0
=	501883.0	2542780.0	5480379.0	399110.0	128228.0	17922.0	93529.0	25940.0	8991.0	94888.0	26411.0	10146.0	72997.0	266859.0	981184.0	15877.0	1777.0	709.0	13119.0	4355.0	3522.0	206464.0	428785.0
l	377198.0	1028390.0	399110.0	5705955.0	322924.0	33557.0	106154.0	36615.0	8540.0	115598.0	42345.0	18874.0	48386.0	133205.0	129334.0	36713.0	2697.0	355.0	21382.0	5796.0	1560.0	117245.0	349943.0
L	121641.0	327283.0	128228.0	322924.0	1027693.0	18735.0	32294.0	7817.0	5659.0	29759.0	11940.0	3400.0	16405.0	49209.0	46123.0	9108.0	1050.0	384.0	9340.0	4263.0	2260.0	29366.0	148676.0
^	21477.0	47274.0	17922.0	33557.0	18735.0	36885.0	4442.0	1429.0	1231.0	6341.0	4006.0	578.0	1433.0	2414.0	1516.0	482.0	107.0	67.0	502.0	229.0	196.0	5302.0	28243.0
i	125131.0	271050.0	93529.0	106154.0	32294.0	4442.0	595373.0	40150.0	10027.0	18546.0	5084.0	1117.0	12394.0	37995.0	34092.0	10213.0	1188.0	353.0	3194.0	1478.0	828.0	65628.0	154975.0
I	51296.0	85530.0	25940.0	36615.0	7817.0	1429.0	40150.0	52833.0	4474.0	3852.0	2982.0	214.0	3401.0	5952.0	4972.0	2934.0	438.0	161.0	424.0	243.0	142.0	12881.0	41195.0
+	21930.0	44013.0	8991.0	8540.0	5659.0	1231.0	10027.0	4474.0	12503.0	1956.0	1388.0	158.0	1943.0	3059.0	2044.0	558.0	185.0	112.0	275.0	202.0	144.0	3506.0	32874.0
n	121345.0	293820.0	94888.0	115598.0	29759.0	6341.0	18546.0	3852.0	1956.0	631883.0	93512.0	7167.0	11043.0	31532.0	29215.0	4795.0	288.0	206.0	8376.0	2752.0	279.0	46160.0	142230.0
N	77107.0	120003.0	26411.0	42345.0	11940.0	4006.0	5084.0	2982.0	1388.0	93512.0	199187.0	4153.0	2796.0	7277.0	6114.0	1609.0	83.0	27.0	1011.0	360.0	115.0	22289.0	54259.0
>	19589.0	50743.0	10146.0	18874.0	3400.0	578.0	1117.0	214.0	158.0	7167.0	4153.0	7335.0	1140.0	2221.0	1749.0	159.0	45.0	4.0	349.0	86.0	37.0	3262.0	14727.0
s	90964.0	207781.0	72997.0	48386.0	16405.0	1433.0	12394.0	3401.0	1943.0	11043.0	2796.0	1140.0	98301.0	96778.0	217397.0	6497.0	1204.0	406.0	4103.0	1957.0	759.0	15681.0	216822.0
S	259045.0	603064.0	266859.0	133205.0	49209.0	2414.0	37995.0	5952.0	3059.0	31532.0	7277.0	2221.0	96778.0	1122195.0	1098213.0	16376.0	2240.0	881.0	10075.0	3001.0	1562.0	65246.0	463912.0
~	180951.0	561953.0	981184.0	129334.0	46123.0	1516.0	34092.0	4972.0	2044.0	29215.0	6114.0	1749.0	217397.0	1098213.0	7592831.0	23035.0	1926.0	1326.0	20093.0	3552.0	1654.0	132675.0	580453.0
b	17068.0	39623.0	15877.0	36713.0	9108.0	482.0	10213.0	2934.0	558.0	4795.0	1609.0	159.0	6497.0	16376.0	23035.0	37141.0	1730.0	351.0	1184.0	314.0	135.0	7490.0	44862.0
B	3270.0	8754.0	1777.0	2697.0	1050.0	107.0	1188.0	438.0	185.0	288.0	83.0	45.0	1204.0	2240.0	1926.0	1730.0	1715.0	91.0	155.0	63.0	37.0	888.0	7829.0
|	994.0	3522.0	709.0	355.0	384.0	67.0	353.0	161.0	112.0	206.0	27.0	4.0	406.0	881.0	1326.0	351.0	91.0	39.0	62.0	59.0	22.0	264.0	4315.0
y	12377.0	32621.0	13119.0	21382.0	9340.0	502.0	3194.0	424.0	275.0	8376.0	1011.0	349.0	4103.0	10075.0	20093.0	1184.0	155.0	62.0	21197.0	2949.0	507.0	3863.0	29544.0
Y	5293.0	9689.0	4355.0	5796.0	4263.0	229.0	1478.0	243.0	202.0	2752.0	360.0	86.0	1957.0	3001.0	3552.0	314.0	63.0	59.0	2949.0	2111.0	179.0	1006.0	12150.0
@	1787.0	6664.0	3522.0	1560.0	2260.0	196.0	828.0	142.0	144.0	279.0	115.0	37.0	759.0	1562.0	1654.0	135.0	37.0	22.0	507.0	179.0	1077.0	408.0	7896.0
[	123451.0	407325.0	206464.0	117245.0	29366.0	5302.0	65628.0	12881.0	3506.0	46160.0	22289.0	3262.0	15681.0	65246.0	132675.0	7490.0	888.0	264.0	3863.0	1006.0	408.0	415227.0	182131.0
:	668856.0	1401389.0	428785.0	349943.0	148676.0	28243.0	154975.0	41195.0	32874.0	142230.0	54259.0	14727.0	216822.0	463912.0	580453.0	44862.0	7829.0	4315.0	29544.0	12150.0	7896.0	182131.0	6860553.0
