	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.00508176239544	0.0418928108622	0.0178647584726	0.0151181748292	0.00345237619837	0.000307859817652	0.00230669444454	0.000450429868342	0.000176967462748	0.00246140854209	0.000886126637302	0.000156352474959	0.00128248532145	0.00544653974694	0.0190205154908	0.000342578851142	4.12072728899e-05	1.54671530008e-05	0.000235039049974	6.99063099453e-05	3.32140343811e-05	0.00233495929266	0.0185135653856
A	0.0418928108622	0.0863385310731	0.0736363577786	0.0623152746446	0.0142302740515	0.00126896065866	0.0095079134523	0.00185661703685	0.0007294383197	0.010145626112	0.00365250603313	0.000644465851765	0.00528624823679	0.0224499732295	0.0784002473897	0.00141206828454	0.00016985135815	6.37537201487e-05	0.00096880232679	0.000288145292197	0.000136904202915	0.00962441771247	0.0763106608233
=	0.0178647584726	0.0736363577786	0.0157007338424	0.0265737081797	0.00606835406117	0.000541135226109	0.00405455193643	0.000791735246615	0.000311061471739	0.00432649794354	0.0015575736447	0.00027482583643	0.00225426621019	0.00957356026504	0.0334329794297	0.000602162001806	7.2431365362e-05	2.71871184756e-05	0.00041313579155	0.000122876597301	5.83813897569e-05	0.00410423398034	0.0325418967225
l	0.0151181748292	0.0623152746446	0.0265737081797	0.0112440917333	0.00513538639567	0.000457939409989	0.00343119248563	0.000670011402342	0.000263237911645	0.00366132866608	0.00131810741836	0.000232573255838	0.00190768829757	0.0081016912737	0.0282928889777	0.000509583738999	6.12955415175e-05	2.3007286152e-05	0.000349619007411	0.000103985166284	4.94056529489e-05	0.00347323625728	0.0275388041029
L	0.00345237619837	0.0142302740515	0.00606835406117	0.00513538639567	0.00058635668532	0.00010457473453	0.000783544799772	0.000153003351544	6.01128318029e-05	0.000836098542585	0.00030100212026	5.31102717031e-05	0.000435638411836	0.00185009675017	0.00646094502766	0.00011636819864	1.3997408483e-05	5.25392833445e-06	7.983876052e-05	2.37459823769e-05	1.12822415558e-05	0.000793145887083	0.0062887427147
^	0.000307859817652	0.00126896065866	0.000541135226109	0.000457939409989	0.00010457473453	4.66263768107e-06	6.98712843906e-05	1.36438155056e-05	5.36046026679e-06	7.45576756614e-05	2.68413557885e-05	4.73601879473e-06	3.88473197369e-05	0.00016497925354	0.000576143862599	1.03769376092e-05	1.24819526482e-06	4.68510187205e-07	7.11948665005e-06	2.11750787993e-06	1.00607483904e-06	7.07274451388e-05	0.00056078801213
i	0.00230669444454	0.0095079134523	0.00405455193643	0.00343119248563	0.000783544799772	6.98712843906e-05	0.00026176151335	0.000102228714579	4.01642020445e-05	0.000558636646891	0.00020111363267	3.54854632421e-05	0.000291070453122	0.00123613640294	0.00431686037251	7.77510508416e-05	9.35232504524e-06	3.51039591421e-06	5.33440201091e-05	1.58658044435e-05	7.53819468777e-06	0.000529937963396	0.00420180393144
I	0.000450429868342	0.00185661703685	0.000791735246615	0.000670011402342	0.000153003351544	1.36438155056e-05	0.000102228714579	9.98113698098e-06	7.84289236133e-06	0.000109085376221	3.92716024004e-05	6.92927170049e-06	5.68375348493e-05	0.000241381236492	0.000842956401896	1.51825031169e-05	1.8262351777e-06	6.85477512295e-07	1.04165248291e-05	3.09812694246e-06	1.47198864973e-06	0.00010348136384	0.000820489248639
+	0.000176967462748	0.0007294383197	0.000311061471739	0.000263237911645	6.01128318029e-05	5.36046026679e-06	4.01642020445e-05	7.84289236133e-06	1.54068020278e-06	4.28580864851e-05	1.54292517511e-05	2.7224118952e-06	2.23306557538e-05	9.48352406874e-05	0.000331185532168	5.96498865553e-06	7.17501721121e-07	2.69314325376e-07	4.09250384846e-06	1.21720983179e-06	5.78323319223e-07	4.06563500503e-05	0.000322358508503
n	0.00246140854209	0.010145626112	0.00432649794354	0.00366132866608	0.000836098542585	7.45576756614e-05	0.000558636646891	0.000109085376221	4.28580864851e-05	0.000298052700009	0.00021460268158	3.78655363527e-05	0.000310593065918	0.00131904626926	0.0046063998728	8.29659520579e-05	9.97960211387e-06	3.74584440944e-06	5.69218983801e-05	1.69299521559e-05	8.04379480791e-06	0.000565481844797	0.00448362639166
N	0.000886126637302	0.00365250603313	0.0015575736447	0.00131810741836	0.00030100212026	2.68413557885e-05	0.00020111363267	3.92716024004e-05	1.54292517511e-05	0.00021460268158	3.86293354665e-05	1.36318940249e-05	0.000111815972182	0.000474867140111	0.00165834056377	2.98684021163e-05	3.59273607431e-06	1.34853375766e-06	2.04923358061e-05	6.09491732766e-06	2.89583005925e-06	0.000203577958318	0.00161414113481
>	0.000156352474959	0.000644465851765	0.00027482583643	0.000232573255838	5.31102717031e-05	4.73601879473e-06	3.54854632421e-05	6.92927170049e-06	2.7224118952e-06	3.78655363527e-05	1.36318940249e-05	1.20263869714e-06	1.97293516013e-05	8.3787857748e-05	0.000292605639595	5.27012550731e-06	6.33919750796e-07	2.37941826483e-07	3.61576696387e-06	1.07541672796e-06	5.10954278728e-07	3.59202807931e-05	0.000284806878314
s	0.00128248532145	0.00528624823679	0.00225426621019	0.00190768829757	0.000435638411836	3.88473197369e-05	0.000291070453122	5.68375348493e-05	2.23306557538e-05	0.000310593065918	0.000111815972182	1.97293516013e-05	8.09152648117e-05	0.00068727212477	0.00240010551706	4.32283442084e-05	5.19974356396e-06	1.95172414063e-06	2.96584243914e-05	8.82113422524e-06	4.19111601895e-06	0.000294637055613	0.00233613597088
S	0.00544653974694	0.0224499732295	0.00957356026504	0.0081016912737	0.00185009675017	0.00016497925354	0.00123613640294	0.000241381236492	9.48352406874e-05	0.00131904626926	0.000474867140111	8.3787857748e-05	0.00068727212477	0.00145937535577	0.010192919854	0.000183584865251	2.20825997158e-05	8.28870547615e-06	0.000125955271828	3.74621505347e-05	1.77990964882e-05	0.0012512832759	0.00992124994086
~	0.0190205154908	0.0784002473897	0.0334329794297	0.0282928889777	0.00646094502766	0.000576143862599	0.00431686037251	0.000842956401896	0.000331185532168	0.0046063998728	0.00165834056377	0.000292605639595	0.00240010551706	0.010192919854	0.0177979597127	0.000641118753486	7.71172982269e-05	2.89459837314e-05	0.000439863529921	0.000130826074475	6.21583622272e-05	0.00436975658644	0.0346471882985
b	0.000342578851142	0.00141206828454	0.000602162001806	0.000509583738999	0.00011636819864	1.03769376092e-05	7.77510508416e-05	1.51825031169e-05	5.96498865553e-06	8.29659520579e-05	2.98684021163e-05	5.27012550731e-06	4.32283442084e-05	0.000183584865251	0.000641118753486	5.77360077653e-06	1.38896106378e-06	5.2134664051e-07	7.92239005367e-06	2.35631081159e-06	1.11953539487e-06	7.87037655146e-05	0.00062403113987
