	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	0.101465759204	0.0930371795466	0.0147914369695	0.0802663072115	0.00707210678963	0.000250028321957	0.033826757832	0.0020644819381	0.000577825909091	0.00856942724259	0.00167914945734	0.0771781749836	0.0238677910953	0.068294383411	0.019033177993	0.00300469472728	0.000486984371993	0.000142381772542
a	0.0930371795466	0.0213271867424	0.00678136934019	0.0367993641115	0.00324231974571	0.000114629457583	0.0155084146938	0.000946494552711	0.000264913470676	0.00392879010238	0.000769832753305	0.0353835608159	0.0109425681281	0.0313106453906	0.00872606292102	0.00137755004751	0.000223265724364	6.52771863143e-05
q	0.0147914369695	0.00678136934019	0.000539065122413	0.0058505156479	0.000515477450923	1.82242669539e-05	0.00246559213809	0.000150477632562	4.21170431324e-05	0.000624615357528	0.00012239120643	0.00562542536345	0.00173969489983	0.00497789636388	0.00138730570206	0.000219008624288	3.54957115583e-05	1.03780380233e-05
x	0.0802663072115	0.0367993641115	0.0058505156479	0.0158740251981	0.00279725840847	9.88946924522e-05	0.0133796315004	0.000816572717619	0.000228549770375	0.00338949949756	0.000664160635344	0.0305265892252	0.00944052194331	0.0270127479591	0.00752826827489	0.00118845880595	0.000192618857417	5.63168264143e-05
s	0.00707210678963	0.00324231974571	0.000515477450923	0.00279725840847	0.000123230474094	8.71341725124e-06	0.00117885307129	7.19466194612e-05	2.01370716929e-05	0.000298642148155	5.85178900313e-05	0.00268963786206	0.000831785859502	0.00238004020472	0.00066330094196	0.000104712772803	1.69712694738e-05	4.96196504227e-06
w	0.000250028321957	0.000114629457583	1.82242669539e-05	9.88946924522e-05	8.71341725124e-06	1.5402772884e-07	4.16773479268e-05	2.54361155303e-06	7.11929046642e-07	1.05582392051e-05	2.06885024282e-06	9.50898595461e-05	2.94070817742e-05	8.41442976297e-05	2.34504407815e-05	3.70203104254e-06	6.00004801147e-07	1.75426054785e-07
c	0.033826757832	0.0155084146938	0.00246559213809	0.0133796315004	0.00117885307129	4.16773479268e-05	0.00281929971847	0.000344129542404	9.63180941498e-05	0.00142844217778	0.000279898275551	0.0128648691715	0.0039785342154	0.011384025444	0.00317265010284	0.000500854089579	8.11756722104e-05	2.37336899525e-05
d	0.0020644819381	0.000946494552711	0.000150477632562	0.000816572717619	7.19466194612e-05	2.54361155303e-06	0.000344129542404	1.05012905492e-05	5.87839268168e-06	8.71793001948e-05	1.70824805987e-05	0.000785156241475	0.000242814048825	0.000694778820621	0.000193630109801	3.05676419447e-05	4.95423504445e-06	1.44849158984e-06
e	0.000577825909091	0.000264913470676	4.21170431324e-05	0.000228549770375	2.01370716929e-05	7.11929046642e-07	9.63180941498e-05	5.87839268168e-06	8.22648901062e-07	2.4400532385e-05	4.78119943763e-06	0.000219756642398	6.79609958861e-05	0.000194460991028	5.41949494246e-05	8.55554857105e-06	1.38663618973e-06	4.05416949534e-07
b	0.00856942724259	0.00392879010238	0.000624615357528	0.00338949949756	0.000298642148155	1.05582392051e-05	0.00142844217778	8.71793001948e-05	2.4400532385e-05	0.000180935627552	7.09074135799e-05	0.00325909331596	0.00100789320869	0.00288394702958	0.000803736330792	0.000126882768402	2.05644602515e-05	6.01252210619e-06
