	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.0356390606433	0.0310706182092	0.00733281202256	0.00536276261747	0.00174129421563	0.000321310874056	0.00180007868627	0.000704922671285	0.000306462155626	0.00181312273472	0.00109270113302	0.000285801338293	0.00129102905586	0.00366325447363	0.0026471191184	0.000251884158393	4.40286396349e-05	1.47956399014e-05	0.000185456379607	7.59288354402e-05	2.61544450634e-05	0.00178446032917	0.00947884328988
A	0.0310706182092	0.22054310508	0.0366704826148	0.014469326376	0.004589766733	0.000667608465542	0.00389368163676	0.00120547973708	0.000607006055291	0.00419819315646	0.0016854821426	0.000700092525164	0.0030513253848	0.00881309257284	0.00812060354693	0.000601578775722	0.000124362992965	5.37552800364e-05	0.000476366526297	0.000143272218848	9.47717131622e-05	0.00581138234284	0.019533920358
=	0.00733281202256	0.0366704826148	0.0834860900218	0.00562163987203	0.00179121457196	0.000255281184236	0.00139185172131	0.000386345341461	0.000126048236254	0.00141475510648	0.000374986536299	0.000150013192005	0.00107271706693	0.00388134087882	0.0135990242786	0.000238481829873	3.00424472976e-05	1.1358805162e-05	0.000199469111209	6.21151483215e-05	4.84872360536e-05	0.00305021073569	0.00592428037358
l	0.00536276261747	0.014469326376	0.00562163987203	0.0822612498913	0.00453033205039	0.000482563444533	0.00154197107037	0.000522425419658	0.000116387944014	0.00168578734414	0.000628688634304	0.000257709526928	0.000719957164566	0.00198289440906	0.00198779090335	0.000559301727538	3.87871349164e-05	5.83863816737e-06	0.000314078924508	8.34792561612e-05	2.32749348763e-05	0.00167124382725	0.00494758236524
L	0.00174129421563	0.004589766733	0.00179121457196	0.00453033205039	0.0147436627521	0.000362592699826	0.000445833102608	0.000104883172898	7.58757569114e-05	0.000438083637404	0.000166082716597	4.78237544437e-05	0.000242820999602	0.000725265017445	0.000663388722503	0.000132085918905	1.55785482011e-05	5.90498632836e-06	0.000132868827204	6.50477370374e-05	3.07590074363e-05	0.000417754560875	0.00221702379958
^	0.000321310874056	0.000667608465542	0.000255281184236	0.000482563444533	0.000362592699826	0.000658107408888	6.38534701395e-05	2.03556157926e-05	1.77149589851e-05	0.00010707266221	6.77680116381e-05	8.3200593885e-06	2.27706888527e-05	3.76459465473e-05	2.47213247859e-05	7.85562226155e-06	1.48619880624e-06	9.95222414893e-07	7.4708029278e-06	3.78184517659e-06	2.7866227617e-06	7.61676888198e-05	0.000442290110811
i	0.00180007868627	0.00389368163676	0.00139185172131	0.00154197107037	0.000445833102608	6.38534701395e-05	0.00881678153059	0.000552109586886	0.000135562562541	0.000270342216781	7.33810660581e-05	1.61624120179e-05	0.00018028122305	0.000548579864721	0.000506249738008	0.000156528581414	1.76088019275e-05	4.80360685588e-06	4.6377364534e-05	2.14304560007e-05	1.122610884e-05	0.000943351422629	0.00210326324274
I	0.000704922671285	0.00120547973708	0.000386345341461	0.000522425419658	0.000104883172898	2.03556157926e-05	0.000552109586886	0.000812619006208	5.59447693492e-05	5.60376567746e-05	4.04192996768e-05	3.23779025645e-06	4.89251339161e-05	9.37632211151e-05	7.5849217647e-05	4.22372392881e-05	6.15710934014e-06	2.22929820936e-06	6.27653602992e-06	3.60933995801e-06	1.92409666879e-06	0.000178821563508	0.000581395665148
+	0.000306462155626	0.000607006055291	0.000126048236254	0.000116387944014	7.58757569114e-05	1.77149589851e-05	0.000135562562541	5.59447693492e-05	0.000158213824704	2.79723846746e-05	2.0050414252e-05	2.61411754312e-06	2.92197301013e-05	4.69877676151e-05	3.05599629533e-05	8.81103577985e-06	2.34872489915e-06	1.59235586383e-06	4.39224825773e-06	3.7287666478e-06	2.16295004837e-06	4.82085737774e-05	0.000496403670916
n	0.00181312273472	0.00419819315646	0.00141475510648	0.00168578734414	0.000438083637404	0.00010707266221	0.000270342216781	5.60376567746e-05	2.79723846746e-05	0.00954817711811	0.00132549029068	0.000100172453467	0.000165790784689	0.000455971101607	0.000431209967925	7.27308540804e-05	3.99415929177e-06	2.83970129049e-06	0.000122438896296	3.93709987332e-05	4.08704671716e-06	0.000673938080101	0.00202265022713
N	0.00109270113302	0.0016854821426	0.000374986536299	0.000628688634304	0.000166082716597	6.77680116381e-05	7.33810660581e-05	4.04192996768e-05	2.0050414252e-05	0.00132549029068	0.00280826553182	6.18364860453e-05	4.64171734306e-05	0.000111226057088	8.86809519831e-05	2.21602857716e-05	1.38004174865e-06	3.98088965957e-07	1.47956399014e-05	6.13057007574e-06	1.53927733503e-06	0.000311225953585	0.000673128632537
