RF00002	RF00002
RF00003	RF00003
RF00003	RF00003
RF00003	RF00003
RF00003	RF00003
RF00003	RF00003
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00004	RF00004
RF00005	RF00005
RF00005	RF02194
RF00005	RF00005
RF00005	RF00005
RF00005	RF00005
RF00005	RF00005
RF00005	hits
RF00005	RF00005
RF00005	RF01844
RF00005	RF00005
RF00005	RF00005
RF00005	hits
RF00005	RF00005
RF00005	RF00005
RF00005	RF00005
RF00005	RF00005
RF00006	RF00006
RF00007	RF00007
RF00007	RF00007
RF00007	RF00007
RF00007	RF00007
RF00007	RF00007
RF00007	RF00007
RF00007	RF00007
RF00009	RF00009
RF00009	RF00009
RF00009	RF00772
RF00009	hits
RF00009	hits
RF00009	hits
RF00009	RF02004
RF00009	RF00009
RF00009	RF00009
RF00009	hits
RF00009	hits
RF00009	hits
RF00009	RF00009
RF00009	RF00009
RF00009	RF00009
RF00009	RF00778
RF00009	RF00009
RF00009	RF00009
RF00009	RF00009
RF00009	RF00009
RF00009	RF01689
RF00009	RF00009
RF00009	RF00009
RF00009	RF00009
RF00010	RF00010
RF00010	RF00010
RF00010	RF00010
RF00010	RF00010
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00012	RF00012
RF00013	hits
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	hits
RF00013	hits
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	hits
RF00013	RF00013
RF00013	RF00013
RF00013	hits
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	hits
RF00013	hits
RF00013	hits
RF00013	RF00168
RF00013	RF01067
RF00013	RF01760
RF00013	hits
RF00013	RF00013
RF00013	RF00013
RF00013	RF00013
RF00013	hits
RF00013	RF00013
RF00013	RF00013
RF00013	hits
RF00013	RF01052
RF00015	RF00015
RF00015	RF00015
RF00015	RF00015
RF00017	RF01855
RF00017	RF00017
RF00017	RF00017
